ocreval Word Accuracy Report Version 7.0
----------------------------------------
     368   Words
     217   Misrecognized
   41.03%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       8        6    25.00        1
       4        4     0.00        2
      12       10    16.67    Total

Non-stopwords
   Count   Missed   %Right   Length
      13       11    15.38        1
      55       21    61.82        2
     130       91    30.00        3
      59       30    49.15        4
      36       20    44.44        5
      19       13    31.58        6
      19       11    42.11        7
       8        4    50.00        8
       7        2    71.43        9
       4        2    50.00       10
       5        2    60.00       11
       1        0   100.00       12
     356      207    41.85    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     132       78    40.91        1
      27       13    51.85        2
      11        4    63.64        3
       4        1    75.00        4
       7        2    71.43        5
       2        0   100.00        6
       3        2    33.33        7
       2        1    50.00        8
       1        1     0.00        9
       2        1    50.00      >10
     191      103    46.07    Total

Phrases
   Count   Missed   %Right   Length
     368      217    41.03        1
     367      270    26.43        2
     366      301    17.76        3
     365      320    12.33        4
     364      335     7.97        5
     363      346     4.68        6
     362      353     2.49        7
     361      357     1.11        8

Stopwords
   Count   Missed   %Right   
       5        3    40.00   a
       3        3     0.00   i
       3        3     0.00   in
       1        1     0.00   on

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   83
       1        0   100.00   accompagnée
       1        0   100.00   accordé
       1        1     0.00   agi
       1        1     0.00   agir
       1        1     0.00   ali
       1        1     0.00   alio
       1        1     0.00   alius
       5        4    20.00   ame
       1        1     0.00   ani
       1        1     0.00   anima
       1        1     0.00   animæ
       3        2    33.33   au
       1        0   100.00   auancé
       1        0   100.00   auec
       1        1     0.00   augu
       1        1     0.00   autre
       1        0   100.00   autrement
       1        1     0.00   butum
       2        2     0.00   c'e
       4        1    75.00   car
       3        0   100.00   ce
       1        0   100.00   cela
       1        0   100.00   celle
       1        0   100.00   celuy
       1        0   100.00   ces
       2        0   100.00   cette
       1        1     0.00   choſe
       1        1     0.00   choſes
       1        0   100.00   comme
       1        0   100.00   commode
       1        1     0.00   commodiùs
       1        1     0.00   con
       1        0   100.00   conformité
       1        0   100.00   contre
       4        1    75.00   corps
       1        1     0.00   corpus
       1        0   100.00   croyons
       3        1    66.67   crû
       1        1     0.00   cum
       5        0   100.00   dans
       7        2    71.43   de
       1        1     0.00   deo
       3        1    66.67   des
       2        0   100.00   dit
       1        0   100.00   donc
       1        1     0.00   donna
       1        0   100.00   donnant
       1        0   100.00   donner
       1        0   100.00   du
       1        0   100.00   düe
       9        9     0.00   e
       1        1     0.00   ei
       3        3     0.00   elle
       5        1    80.00   en
       1        1     0.00   enim
       1        0   100.00   entre
       1        1     0.00   eodem
       1        1     0.00   etiam
       1        1     0.00   eſmement
       2        2     0.00   eſprit
       1        0   100.00   fait
       1        1     0.00   faiſant
       1        1     0.00   fit
       1        0   100.00   fonds
       1        0   100.00   grande
       2        2     0.00   hoc
       1        0   100.00   ie
       1        1     0.00   ient
       8        2    75.00   il
       1        0   100.00   intentione
       3        3     0.00   ions
       1        0   100.00   j'ay
       2        2     0.00   la
       6        1    83.33   le
       1        0   100.00   lequel
       1        0   100.00   liure
       1        0   100.00   locale
       1        0   100.00   lons
       1        1     0.00   lontatem
       1        1     0.00   lonté
       4        1    75.00   luy
       2        0   100.00   mais
       1        1     0.00   mam
       1        1     0.00   matiere
       1        1     0.00   ment
       1        0   100.00   meut
       5        5     0.00   meſme
       1        1     0.00   mile
       1        0   100.00   mole
       1        1     0.00   momento
       2        2     0.00   motus
       1        1     0.00   moueri
       2        0   100.00   mouuemens
       2        0   100.00   mouuement
       2        1    50.00   n'a
       1        1     0.00   n'e
       1        1     0.00   nam
       5        1    80.00   ne
       1        1     0.00   nobis
       1        0   100.00   nom
       1        1     0.00   nomine
       3        3     0.00   non
       3        0   100.00   nous
       1        1     0.00   nõ
       1        1     0.00   occa
       2        2     0.00   oit
       1        1     0.00   operationes
       1        0   100.00   operations
       2        1    50.00   ou
       1        1     0.00   pa
       1        1     0.00   par
       6        1    83.33   pas
       1        1     0.00   penſe
       1        1     0.00   penſees
       1        1     0.00   per
       1        0   100.00   peut
       1        1     0.00   pli
       2        0   100.00   plus
       1        1     0.00   po
       2        0   100.00   pour
       1        0   100.00   pourquoy
       1        1     0.00   preface
       1        1     0.00   premiere
       1        1     0.00   preſence
       1        1     0.00   pui
       1        1     0.00   qu'il
       1        0   100.00   qu'on
       2        1    50.00   quand
      13        2    84.62   que
       2        0   100.00   quelque
       5        2    60.00   qui
       1        1     0.00   quid
       2        2     0.00   quo
       2        2     0.00   quod
       1        1     0.00   raiſon
       1        0   100.00   receuoir
       1        0   100.00   rem
       1        0   100.00   ren
       1        1     0.00   ri
       1        0   100.00   s
       1        0   100.00   s'aperçoit
       1        0   100.00   s'il
       1        0   100.00   secondement
       2        2     0.00   t
       1        1     0.00   tale
       1        1     0.00   tamen
       1        1     0.00   tangi
       1        0   100.00   tant
       2        1    50.00   temps
       1        1     0.00   terè
       1        0   100.00   touché
       1        1     0.00   tri
       1        1     0.00   troi
       1        0   100.00   trouuer
       1        1     0.00   tur
       1        1     0.00   unt
       1        1     0.00   vel
       1        0   100.00   veut
       1        0   100.00   vient
       1        1     0.00   vn
       3        0   100.00   vne
       2        1    50.00   vnion
       2        1    50.00   vo
       1        1     0.00   voca
       1        0   100.00   volonté
       1        1     0.00   volumus
       1        0   100.00   vou
       1        1     0.00   vult
       1        0   100.00   y
       3        2    33.33   à
       1        1     0.00   é
       1        0   100.00   écrit
       1        1     0.00   ſa
       5        5     0.00   ſe
       1        1     0.00   ſed
       1        1     0.00   ſemblable
       2        2     0.00   ſent
       1        1     0.00   ſente
       3        3     0.00   ſentit
       2        2     0.00   ſes
       2        2     0.00   ſon
       1        1     0.00   ſou
       1        1     0.00   ſpontaneus
       2        2     0.00   ſur
      15       15     0.00   
       8        8     0.00   
       7        7     0.00   
       1        1     0.00   
       4        4     0.00   
       7        7     0.00   
