ocreval Accuracy Report Version 7.0
-----------------------------------
     770   Characters
     483   Errors
   37.27%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   37.27%  Accuracy After Correction

     Ins    Subst      Del   Errors
       7        5    28.57   {⸗}
       2        2     0.00   {}
       4        4     0.00   {}
       4        4     0.00   {}
       5        5     0.00   {}
       1        1     0.00   {}
       3        3     0.00   {}
       1        1     0.00   {}
       1        1     0.00   {}
      24       24     0.00   {}
       1        1     0.00   {ﬁ}
       2        2     0.00   {ﬂ}
       2        2     0.00   {�}
