ocreval Word Accuracy Report Version 7.0
----------------------------------------
     319   Words
     116   Misrecognized
   63.64%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       3        3     0.00        1
      48        9    81.25        2
      44        9    79.55        3
      29        6    79.31        4
       2        0   100.00        5
     126       27    78.57    Total

Non-stopwords
   Count   Missed   %Right   Length
       6        6     0.00        1
      13        7    46.15        2
      31       23    25.81        3
      48       16    66.67        4
      34       12    64.71        5
      16        9    43.75        6
      19        6    68.42        7
      13        5    61.54        8
       9        3    66.67        9
       2        1    50.00       10
       1        1     0.00       11
       1        0   100.00       12
     193       89    53.89    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
      84       40    52.38        1
      17        7    58.82        2
       9        1    88.89        3
       6        2    66.67        4
       3        1    66.67        5
       1        1     0.00        9
     120       52    56.67    Total

Phrases
   Count   Missed   %Right   Length
     319      116    63.64        1
     318      162    49.06        2
     317      199    37.22        3
     316      228    27.85        4
     315      247    21.59        5
     314      262    16.56        6
     313      275    12.14        7
     312      283     9.29        8

Stopwords
   Count   Missed   %Right   
       1        1     0.00   a
       1        0   100.00   about
      10        1    90.00   and
       1        0   100.00   any
       6        1    83.33   are
       3        2    33.33   as
       3        0   100.00   be
       1        0   100.00   but
       3        0   100.00   by
       1        0   100.00   can
       3        0   100.00   for
       4        2    50.00   have
       3        1    66.67   he
       1        0   100.00   his
       1        0   100.00   how
       2        2     0.00   i
       1        1     0.00   if
      11        3    72.73   in
       3        1    66.67   is
       2        0   100.00   it
       2        0   100.00   know
       1        0   100.00   like
       1        1     0.00   made
       1        0   100.00   make
       5        1    80.00   may
       1        0   100.00   me
       5        1    80.00   my
       2        0   100.00   no
       3        2    33.33   not
       1        0   100.00   now
       2        0   100.00   of
       2        0   100.00   or
       5        0   100.00   that
      10        4    60.00   the
       1        0   100.00   their
       1        1     0.00   them
       1        0   100.00   then
       7        0   100.00   they
       3        0   100.00   to
       3        0   100.00   up
       1        0   100.00   we
       2        1    50.00   were
       1        0   100.00   when
       2        0   100.00   with
       1        0   100.00   you
       1        1     0.00   your

Non-stopwords
   Count   Missed   %Right   
       2        2     0.00   1
       2        2     0.00   10
       1        1     0.00   11
       1        1     0.00   12
       1        1     0.00   15.2
       2        2     0.00   2
       1        1     0.00   2.17
       1        1     0.00   46
       1        1     0.00   6.7.8
       1        1     0.00   9.10
       2        2     0.00   abide
       2        0   100.00   again
       3        2    33.33   alive
       1        1     0.00   am
       5        1    80.00   away
       3        0   100.00   bear
       3        3     0.00   becauſe
       1        0   100.00   belie
       2        1    50.00   believers
       1        0   100.00   betaken
       1        0   100.00   branch
       2        0   100.00   branches
       1        0   100.00   burning
       1        1     0.00   c
       1        0   100.00   ca
       1        0   100.00   calling
       2        0   100.00   cannot
       1        0   100.00   charity
       5        5     0.00   chri
       1        0   100.00   clouds
       1        1     0.00   com
       1        0   100.00   commandments
       1        0   100.00   continue
       1        0   100.00   cut
       4        0   100.00   dead
       3        0   100.00   die
       1        0   100.00   diligence
       1        1     0.00   diſunited
       1        0   100.00   dy
       1        0   100.00   dyed
       1        1     0.00   ele
       1        1     0.00   eleventh
       2        1    50.00   eth
       2        0   100.00   even
       1        0   100.00   every
       1        0   100.00   fa
       2        0   100.00   faith
       4        0   100.00   fall
       1        0   100.00   fathers
       2        2     0.00   fea
       1        0   100.00   fear
       1        0   100.00   feeding
       1        0   100.00   followes
       5        2    60.00   fruit
       1        1     0.00   give
       1        1     0.00   heb
       1        0   100.00   husbandman
       1        1     0.00   ion
       1        1     0.00   john
       2        1    50.00   jude
       1        0   100.00   keep
       1        0   100.00   ken
       1        0   100.00   kept
       1        1     0.00   lea
       1        1     0.00   life
       3        0   100.00   love
       1        0   100.00   mandments
       1        0   100.00   men
       1        1     0.00   mu
       1        1     0.00   nnes
       1        0   100.00   obtained
       1        0   100.00   ous
       1        1     0.00   oﬀ
       2        2     0.00   pet
       3        0   100.00   plucked
       1        0   100.00   preci
       1        0   100.00   precious
       4        4     0.00   reaſon
       1        0   100.00   ried
       3        1    66.67   roots
       1        1     0.00   s
       1        0   100.00   ta
       1        0   100.00   taketh
       1        1     0.00   tenth
       1        1     0.00   themſelves
       1        0   100.00   ther
       4        1    75.00   therefore
       1        0   100.00   therfore
       4        4     0.00   theſe
       1        0   100.00   thing
       1        0   100.00   totally
       1        0   100.00   touching
       1        1     0.00   treatiſe
       2        0   100.00   trees
       4        0   100.00   twice
       1        0   100.00   united
       1        0   100.00   vers
       3        0   100.00   vine
       1        1     0.00   viz
       1        0   100.00   vvas
       1        0   100.00   water
       1        1     0.00   whoſe
       1        0   100.00   winds
       1        0   100.00   wither
       3        0   100.00   without
       2        0   100.00   ye
       1        1     0.00   ſaid
       2        2     0.00   ſaith
       1        1     0.00   ſhall
       1        1     0.00   ſhould
       1        1     0.00   ſo
       1        1     0.00   ſpeaks
       1        1     0.00   ſpots
       1        1     0.00   ſuch
       1        1     0.00   ſure
       9        9     0.00   
       1        1     0.00   
       1        1     0.00   
       1        1     0.00   ﬁnally
       1        1     0.00   ﬁt
