groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00539357.txt,..\..\Submissions\gt4hist\00539357.txt,1541,1565,0.8682673589,gt4hist\00539357.txt,gt4hist,00539357.txt,0
..\..\groundtruth\00539358.txt,..\..\Submissions\gt4hist\00539358.txt,1530,1537,0.8196078431,gt4hist\00539358.txt,gt4hist,00539358.txt,0
..\..\groundtruth\00539359.txt,..\..\Submissions\gt4hist\00539359.txt,1628,1643,0.8771498771,gt4hist\00539359.txt,gt4hist,00539359.txt,0
..\..\groundtruth\00539360.txt,..\..\Submissions\gt4hist\00539360.txt,1591,1600,0.8730358265,gt4hist\00539360.txt,gt4hist,00539360.txt,0
..\..\groundtruth\00539361.txt,..\..\Submissions\gt4hist\00539361.txt,1512,1516,0.8353174603,gt4hist\00539361.txt,gt4hist,00539361.txt,0
..\..\groundtruth\00539362.txt,..\..\Submissions\gt4hist\00539362.txt,1561,1556,0.8372837924,gt4hist\00539362.txt,gt4hist,00539362.txt,0
..\..\groundtruth\00539363.txt,..\..\Submissions\gt4hist\00539363.txt,1542,1565,0.8955901427,gt4hist\00539363.txt,gt4hist,00539363.txt,0
..\..\groundtruth\00539364.txt,..\..\Submissions\gt4hist\00539364.txt,1548,1591,0.9140826873,gt4hist\00539364.txt,gt4hist,00539364.txt,0
..\..\groundtruth\00539365.txt,..\..\Submissions\gt4hist\00539365.txt,1509,1536,0.8714380384,gt4hist\00539365.txt,gt4hist,00539365.txt,0
..\..\groundtruth\00539366.txt,..\..\Submissions\gt4hist\00539366.txt,1575,1616,0.9225396825,gt4hist\00539366.txt,gt4hist,00539366.txt,0
..\..\groundtruth\00539367.txt,..\..\Submissions\gt4hist\00539367.txt,1548,1578,0.8624031008,gt4hist\00539367.txt,gt4hist,00539367.txt,0
..\..\groundtruth\00539368.txt,..\..\Submissions\gt4hist\00539368.txt,1342,1376,0.9001490313,gt4hist\00539368.txt,gt4hist,00539368.txt,0
..\..\groundtruth\00539369.txt,..\..\Submissions\gt4hist\00539369.txt,1596,1635,0.8834586466,gt4hist\00539369.txt,gt4hist,00539369.txt,0
..\..\groundtruth\00539370.txt,..\..\Submissions\gt4hist\00539370.txt,1427,1469,0.8976874562,gt4hist\00539370.txt,gt4hist,00539370.txt,0
..\..\groundtruth\00539371.txt,..\..\Submissions\gt4hist\00539371.txt,1530,1536,0.8326797386,gt4hist\00539371.txt,gt4hist,00539371.txt,0
..\..\groundtruth\00539372.txt,..\..\Submissions\gt4hist\00539372.txt,1601,1633,0.8644597127,gt4hist\00539372.txt,gt4hist,00539372.txt,0
..\..\groundtruth\00539373.txt,..\..\Submissions\gt4hist\00539373.txt,1550,1573,0.8722580645,gt4hist\00539373.txt,gt4hist,00539373.txt,0
..\..\groundtruth\00046893.txt,..\..\Submissions\mixed\00046893.txt,77,54,0.4805194805,mixed\00046893.txt,mixed,00046893.txt,0
..\..\groundtruth\00046895.txt,..\..\Submissions\mixed\00046895.txt,435,482,0.7149425287,mixed\00046895.txt,mixed,00046895.txt,0
..\..\groundtruth\00046896.txt,..\..\Submissions\mixed\00046896.txt,585,630,0.7675213675,mixed\00046896.txt,mixed,00046896.txt,0
..\..\groundtruth\00046897.txt,..\..\Submissions\mixed\00046897.txt,558,597,0.7652329749,mixed\00046897.txt,mixed,00046897.txt,0
..\..\groundtruth\00046898.txt,..\..\Submissions\mixed\00046898.txt,579,625,0.7702936097,mixed\00046898.txt,mixed,00046898.txt,0
..\..\groundtruth\00046899.txt,..\..\Submissions\mixed\00046899.txt,539,582,0.7606679035,mixed\00046899.txt,mixed,00046899.txt,0
..\..\groundtruth\00046900.txt,..\..\Submissions\mixed\00046900.txt,589,614,0.7894736842,mixed\00046900.txt,mixed,00046900.txt,0
..\..\groundtruth\00046901.txt,..\..\Submissions\mixed\00046901.txt,529,565,0.7258979206,mixed\00046901.txt,mixed,00046901.txt,0
..\..\groundtruth\00046902.txt,..\..\Submissions\mixed\00046902.txt,560,598,0.7571428571,mixed\00046902.txt,mixed,00046902.txt,0
..\..\groundtruth\00046903.txt,..\..\Submissions\mixed\00046903.txt,316,339,0.7879746835,mixed\00046903.txt,mixed,00046903.txt,0
..\..\groundtruth\00046905.txt,..\..\Submissions\mixed\00046905.txt,273,296,0.7472527473,mixed\00046905.txt,mixed,00046905.txt,0
..\..\groundtruth\00046906.txt,..\..\Submissions\mixed\00046906.txt,698,769,0.729226361,mixed\00046906.txt,mixed,00046906.txt,0
..\..\groundtruth\00046907.txt,..\..\Submissions\mixed\00046907.txt,881,949,0.7355278093,mixed\00046907.txt,mixed,00046907.txt,0
..\..\groundtruth\00046908.txt,..\..\Submissions\mixed\00046908.txt,862,922,0.7621809745,mixed\00046908.txt,mixed,00046908.txt,0
..\..\groundtruth\00046909.txt,..\..\Submissions\mixed\00046909.txt,789,854,0.7579214195,mixed\00046909.txt,mixed,00046909.txt,0
..\..\groundtruth\00046910.txt,..\..\Submissions\mixed\00046910.txt,913,970,0.8357064622,mixed\00046910.txt,mixed,00046910.txt,0
..\..\groundtruth\00046911.txt,..\..\Submissions\mixed\00046911.txt,853,924,0.7573270809,mixed\00046911.txt,mixed,00046911.txt,0
..\..\groundtruth\00046912.txt,..\..\Submissions\mixed\00046912.txt,851,929,0.8049353702,mixed\00046912.txt,mixed,00046912.txt,0
..\..\groundtruth\00046913.txt,..\..\Submissions\mixed\00046913.txt,781,849,0.7861715749,mixed\00046913.txt,mixed,00046913.txt,0
..\..\groundtruth\00046914.txt,..\..\Submissions\mixed\00046914.txt,900,956,0.8166666667,mixed\00046914.txt,mixed,00046914.txt,0
..\..\groundtruth\00046915.txt,..\..\Submissions\mixed\00046915.txt,849,890,0.7585394582,mixed\00046915.txt,mixed,00046915.txt,0
..\..\groundtruth\00046916.txt,..\..\Submissions\mixed\00046916.txt,852,917,0.808685446,mixed\00046916.txt,mixed,00046916.txt,0
..\..\groundtruth\00046917.txt,..\..\Submissions\mixed\00046917.txt,867,934,0.7912341407,mixed\00046917.txt,mixed,00046917.txt,0
..\..\groundtruth\00046918.txt,..\..\Submissions\mixed\00046918.txt,825,881,0.8072727273,mixed\00046918.txt,mixed,00046918.txt,0
..\..\groundtruth\00046919.txt,..\..\Submissions\mixed\00046919.txt,856,910,0.7686915888,mixed\00046919.txt,mixed,00046919.txt,0
..\..\groundtruth\00046920.txt,..\..\Submissions\mixed\00046920.txt,851,899,0.8178613396,mixed\00046920.txt,mixed,00046920.txt,0
..\..\groundtruth\00046921.txt,..\..\Submissions\mixed\00046921.txt,829,895,0.8057901086,mixed\00046921.txt,mixed,00046921.txt,0
..\..\groundtruth\00046922.txt,..\..\Submissions\mixed\00046922.txt,861,908,0.756097561,mixed\00046922.txt,mixed,00046922.txt,0
..\..\groundtruth\00046923.txt,..\..\Submissions\mixed\00046923.txt,833,904,0.7515006002,mixed\00046923.txt,mixed,00046923.txt,0
..\..\groundtruth\00046924.txt,..\..\Submissions\mixed\00046924.txt,662,716,0.7794561934,mixed\00046924.txt,mixed,00046924.txt,0
..\..\groundtruth\00046925.txt,..\..\Submissions\mixed\00046925.txt,799,863,0.7759699625,mixed\00046925.txt,mixed,00046925.txt,0
..\..\groundtruth\00046926.txt,..\..\Submissions\mixed\00046926.txt,817,866,0.7870257038,mixed\00046926.txt,mixed,00046926.txt,0
..\..\groundtruth\00046927.txt,..\..\Submissions\mixed\00046927.txt,839,898,0.7878426698,mixed\00046927.txt,mixed,00046927.txt,0
..\..\groundtruth\00046928.txt,..\..\Submissions\mixed\00046928.txt,529,571,0.7769376181,mixed\00046928.txt,mixed,00046928.txt,0
..\..\groundtruth\00046929.txt,..\..\Submissions\mixed\00046929.txt,857,911,0.8121353559,mixed\00046929.txt,mixed,00046929.txt,0
..\..\groundtruth\00046930.txt,..\..\Submissions\mixed\00046930.txt,818,868,0.8080684597,mixed\00046930.txt,mixed,00046930.txt,0
..\..\groundtruth\00046931.txt,..\..\Submissions\mixed\00046931.txt,866,941,0.792147806,mixed\00046931.txt,mixed,00046931.txt,0
..\..\groundtruth\00046932.txt,..\..\Submissions\mixed\00046932.txt,749,801,0.7997329773,mixed\00046932.txt,mixed,00046932.txt,0
..\..\groundtruth\00046933.txt,..\..\Submissions\mixed\00046933.txt,745,802,0.7503355705,mixed\00046933.txt,mixed,00046933.txt,0
..\..\groundtruth\00046934.txt,..\..\Submissions\mixed\00046934.txt,929,996,0.8234660926,mixed\00046934.txt,mixed,00046934.txt,0
..\..\groundtruth\00046935.txt,..\..\Submissions\mixed\00046935.txt,783,845,0.7215836526,mixed\00046935.txt,mixed,00046935.txt,0
..\..\groundtruth\00046936.txt,..\..\Submissions\mixed\00046936.txt,775,822,0.8167741935,mixed\00046936.txt,mixed,00046936.txt,0
..\..\groundtruth\00046937.txt,..\..\Submissions\mixed\00046937.txt,803,866,0.7808219178,mixed\00046937.txt,mixed,00046937.txt,0
..\..\groundtruth\00046938.txt,..\..\Submissions\mixed\00046938.txt,909,964,0.800880088,mixed\00046938.txt,mixed,00046938.txt,0
..\..\groundtruth\00046939.txt,..\..\Submissions\mixed\00046939.txt,838,880,0.7971360382,mixed\00046939.txt,mixed,00046939.txt,0
..\..\groundtruth\00046940.txt,..\..\Submissions\mixed\00046940.txt,908,958,0.7224669604,mixed\00046940.txt,mixed,00046940.txt,0
..\..\groundtruth\00046941.txt,..\..\Submissions\mixed\00046941.txt,890,967,0.6853932584,mixed\00046941.txt,mixed,00046941.txt,0
..\..\groundtruth\00046942.txt,..\..\Submissions\mixed\00046942.txt,567,594,0.823633157,mixed\00046942.txt,mixed,00046942.txt,0
..\..\groundtruth\00046943.txt,..\..\Submissions\mixed\00046943.txt,556,597,0.7769784173,mixed\00046943.txt,mixed,00046943.txt,0
..\..\groundtruth\00046944.txt,..\..\Submissions\mixed\00046944.txt,846,906,0.780141844,mixed\00046944.txt,mixed,00046944.txt,0
..\..\groundtruth\00046945.txt,..\..\Submissions\mixed\00046945.txt,909,978,0.8129812981,mixed\00046945.txt,mixed,00046945.txt,0
..\..\groundtruth\00046946.txt,..\..\Submissions\mixed\00046946.txt,822,887,0.8114355231,mixed\00046946.txt,mixed,00046946.txt,0
..\..\groundtruth\00046947.txt,..\..\Submissions\mixed\00046947.txt,620,665,0.7532258065,mixed\00046947.txt,mixed,00046947.txt,0
..\..\groundtruth\00046948.txt,..\..\Submissions\mixed\00046948.txt,844,886,0.827014218,mixed\00046948.txt,mixed,00046948.txt,0
..\..\groundtruth\00046949.txt,..\..\Submissions\mixed\00046949.txt,889,957,0.7986501687,mixed\00046949.txt,mixed,00046949.txt,0
..\..\groundtruth\00046950.txt,..\..\Submissions\mixed\00046950.txt,892,974,0.7926008969,mixed\00046950.txt,mixed,00046950.txt,0
..\..\groundtruth\00046951.txt,..\..\Submissions\mixed\00046951.txt,872,931,0.8016055046,mixed\00046951.txt,mixed,00046951.txt,0
..\..\groundtruth\00046952.txt,..\..\Submissions\mixed\00046952.txt,750,822,0.7093333333,mixed\00046952.txt,mixed,00046952.txt,0
..\..\groundtruth\00046953.txt,..\..\Submissions\mixed\00046953.txt,747,790,0.8206157965,mixed\00046953.txt,mixed,00046953.txt,0
..\..\groundtruth\00046954.txt,..\..\Submissions\mixed\00046954.txt,886,949,0.7810383747,mixed\00046954.txt,mixed,00046954.txt,0
..\..\groundtruth\00046955.txt,..\..\Submissions\mixed\00046955.txt,901,971,0.8190899001,mixed\00046955.txt,mixed,00046955.txt,0
..\..\groundtruth\00046956.txt,..\..\Submissions\mixed\00046956.txt,749,799,0.7703604806,mixed\00046956.txt,mixed,00046956.txt,0
..\..\groundtruth\00046957.txt,..\..\Submissions\mixed\00046957.txt,852,927,0.7910798122,mixed\00046957.txt,mixed,00046957.txt,0
..\..\groundtruth\00046958.txt,..\..\Submissions\mixed\00046958.txt,773,826,0.808538163,mixed\00046958.txt,mixed,00046958.txt,0
..\..\groundtruth\00046959.txt,..\..\Submissions\mixed\00046959.txt,814,861,0.7764127764,mixed\00046959.txt,mixed,00046959.txt,0
..\..\groundtruth\00046960.txt,..\..\Submissions\mixed\00046960.txt,746,811,0.7908847185,mixed\00046960.txt,mixed,00046960.txt,0
..\..\groundtruth\00046961.txt,..\..\Submissions\mixed\00046961.txt,831,870,0.8158844765,mixed\00046961.txt,mixed,00046961.txt,0
..\..\groundtruth\00046962.txt,..\..\Submissions\mixed\00046962.txt,836,888,0.8157894737,mixed\00046962.txt,mixed,00046962.txt,0
..\..\groundtruth\00046963.txt,..\..\Submissions\mixed\00046963.txt,865,915,0.812716763,mixed\00046963.txt,mixed,00046963.txt,0
..\..\groundtruth\00046964.txt,..\..\Submissions\mixed\00046964.txt,799,849,0.802252816,mixed\00046964.txt,mixed,00046964.txt,0
..\..\groundtruth\00046965.txt,..\..\Submissions\mixed\00046965.txt,873,930,0.7880870561,mixed\00046965.txt,mixed,00046965.txt,0
..\..\groundtruth\00046966.txt,..\..\Submissions\mixed\00046966.txt,837,908,0.7502986858,mixed\00046966.txt,mixed,00046966.txt,0
..\..\groundtruth\00046967.txt,..\..\Submissions\mixed\00046967.txt,769,829,0.7984395319,mixed\00046967.txt,mixed,00046967.txt,0
..\..\groundtruth\00046968.txt,..\..\Submissions\mixed\00046968.txt,804,859,0.7997512438,mixed\00046968.txt,mixed,00046968.txt,0
..\..\groundtruth\00046969.txt,..\..\Submissions\mixed\00046969.txt,798,861,0.7706766917,mixed\00046969.txt,mixed,00046969.txt,0
..\..\groundtruth\00046970.txt,..\..\Submissions\mixed\00046970.txt,750,802,0.8013333333,mixed\00046970.txt,mixed,00046970.txt,0
..\..\groundtruth\00046971.txt,..\..\Submissions\mixed\00046971.txt,876,936,0.7853881279,mixed\00046971.txt,mixed,00046971.txt,0
..\..\groundtruth\00046972.txt,..\..\Submissions\mixed\00046972.txt,859,913,0.7904540163,mixed\00046972.txt,mixed,00046972.txt,0
..\..\groundtruth\00046973.txt,..\..\Submissions\mixed\00046973.txt,891,954,0.7968574635,mixed\00046973.txt,mixed,00046973.txt,0
..\..\groundtruth\00046974.txt,..\..\Submissions\mixed\00046974.txt,789,843,0.7541191381,mixed\00046974.txt,mixed,00046974.txt,0
..\..\groundtruth\00046975.txt,..\..\Submissions\mixed\00046975.txt,731,779,0.7920656635,mixed\00046975.txt,mixed,00046975.txt,0
..\..\groundtruth\00046976.txt,..\..\Submissions\mixed\00046976.txt,900,952,0.8377777778,mixed\00046976.txt,mixed,00046976.txt,0
..\..\groundtruth\00046977.txt,..\..\Submissions\mixed\00046977.txt,894,968,0.793064877,mixed\00046977.txt,mixed,00046977.txt,0
..\..\groundtruth\00046978.txt,..\..\Submissions\mixed\00046978.txt,878,922,0.7870159453,mixed\00046978.txt,mixed,00046978.txt,0
..\..\groundtruth\00046979.txt,..\..\Submissions\mixed\00046979.txt,850,937,0.7682352941,mixed\00046979.txt,mixed,00046979.txt,0
..\..\groundtruth\00046980.txt,..\..\Submissions\mixed\00046980.txt,779,839,0.7625160462,mixed\00046980.txt,mixed,00046980.txt,0
..\..\groundtruth\00046981.txt,..\..\Submissions\mixed\00046981.txt,680,756,0.6691176471,mixed\00046981.txt,mixed,00046981.txt,0
..\..\groundtruth\00046982.txt,..\..\Submissions\mixed\00046982.txt,874,934,0.7826086957,mixed\00046982.txt,mixed,00046982.txt,0
..\..\groundtruth\00046983.txt,..\..\Submissions\mixed\00046983.txt,889,937,0.7930258718,mixed\00046983.txt,mixed,00046983.txt,0
..\..\groundtruth\00046984.txt,..\..\Submissions\mixed\00046984.txt,882,930,0.8242630385,mixed\00046984.txt,mixed,00046984.txt,0
..\..\groundtruth\00046985.txt,..\..\Submissions\mixed\00046985.txt,740,790,0.7,mixed\00046985.txt,mixed,00046985.txt,0
..\..\groundtruth\00046986.txt,..\..\Submissions\mixed\00046986.txt,822,850,0.8126520681,mixed\00046986.txt,mixed,00046986.txt,0
..\..\groundtruth\00046987.txt,..\..\Submissions\mixed\00046987.txt,790,851,0.7278481013,mixed\00046987.txt,mixed,00046987.txt,0
..\..\groundtruth\00046988.txt,..\..\Submissions\mixed\00046988.txt,735,791,0.7673469388,mixed\00046988.txt,mixed,00046988.txt,0
..\..\groundtruth\00046989.txt,..\..\Submissions\mixed\00046989.txt,731,787,0.7140902873,mixed\00046989.txt,mixed,00046989.txt,0
..\..\groundtruth\00046990.txt,..\..\Submissions\mixed\00046990.txt,813,862,0.7773677737,mixed\00046990.txt,mixed,00046990.txt,0
..\..\groundtruth\00046991.txt,..\..\Submissions\mixed\00046991.txt,896,952,0.8247767857,mixed\00046991.txt,mixed,00046991.txt,0
..\..\groundtruth\00046992.txt,..\..\Submissions\mixed\00046992.txt,758,812,0.7757255937,mixed\00046992.txt,mixed,00046992.txt,0
..\..\groundtruth\00046993.txt,..\..\Submissions\mixed\00046993.txt,508,546,0.7736220472,mixed\00046993.txt,mixed,00046993.txt,0
..\..\groundtruth\00046994.txt,..\..\Submissions\mixed\00046994.txt,818,856,0.8068459658,mixed\00046994.txt,mixed,00046994.txt,0
..\..\groundtruth\00046995.txt,..\..\Submissions\mixed\00046995.txt,815,876,0.8,mixed\00046995.txt,mixed,00046995.txt,0
..\..\groundtruth\00046996.txt,..\..\Submissions\mixed\00046996.txt,722,772,0.7645429363,mixed\00046996.txt,mixed,00046996.txt,0
..\..\groundtruth\00046997.txt,..\..\Submissions\mixed\00046997.txt,766,826,0.8015665796,mixed\00046997.txt,mixed,00046997.txt,0
..\..\groundtruth\00046998.txt,..\..\Submissions\mixed\00046998.txt,802,845,0.7805486284,mixed\00046998.txt,mixed,00046998.txt,0
..\..\groundtruth\00046999.txt,..\..\Submissions\mixed\00046999.txt,831,896,0.7906137184,mixed\00046999.txt,mixed,00046999.txt,0
..\..\groundtruth\00047000.txt,..\..\Submissions\mixed\00047000.txt,853,920,0.8264947245,mixed\00047000.txt,mixed,00047000.txt,0
..\..\groundtruth\00047001.txt,..\..\Submissions\mixed\00047001.txt,469,512,0.7398720682,mixed\00047001.txt,mixed,00047001.txt,0
..\..\groundtruth\00047002.txt,..\..\Submissions\mixed\00047002.txt,220,235,0.7,mixed\00047002.txt,mixed,00047002.txt,0
..\..\groundtruth\00310010.txt,..\..\Submissions\mixed\00310010.txt,790,849,0.8278481013,mixed\00310010.txt,mixed,00310010.txt,0
..\..\groundtruth\00451868.txt,..\..\Submissions\mixed\00451868.txt,345,399,0.747826087,mixed\00451868.txt,mixed,00451868.txt,0
..\..\groundtruth\00451869.txt,..\..\Submissions\mixed\00451869.txt,74,74,0.5405405405,mixed\00451869.txt,mixed,00451869.txt,0
..\..\groundtruth\00451870.txt,..\..\Submissions\mixed\00451870.txt,291,422,0.4810996564,mixed\00451870.txt,mixed,00451870.txt,0
..\..\groundtruth\00451871.txt,..\..\Submissions\mixed\00451871.txt,1284,1382,0.8177570093,mixed\00451871.txt,mixed,00451871.txt,0
..\..\groundtruth\00451872.txt,..\..\Submissions\mixed\00451872.txt,1284,1339,0.8621495327,mixed\00451872.txt,mixed,00451872.txt,0
..\..\groundtruth\00451873.txt,..\..\Submissions\mixed\00451873.txt,1238,1285,0.852180937,mixed\00451873.txt,mixed,00451873.txt,0
..\..\groundtruth\00451874.txt,..\..\Submissions\mixed\00451874.txt,1245,1298,0.859437751,mixed\00451874.txt,mixed,00451874.txt,0
..\..\groundtruth\00451875.txt,..\..\Submissions\mixed\00451875.txt,334,353,0.8053892216,mixed\00451875.txt,mixed,00451875.txt,0
..\..\groundtruth\00451876.txt,..\..\Submissions\mixed\00451876.txt,806,865,0.8052109181,mixed\00451876.txt,mixed,00451876.txt,0
..\..\groundtruth\00451877.txt,..\..\Submissions\mixed\00451877.txt,1514,1567,0.8685601057,mixed\00451877.txt,mixed,00451877.txt,0
..\..\groundtruth\00451878.txt,..\..\Submissions\mixed\00451878.txt,1498,1532,0.8945260347,mixed\00451878.txt,mixed,00451878.txt,0
..\..\groundtruth\00451879.txt,..\..\Submissions\mixed\00451879.txt,1514,1564,0.8725231176,mixed\00451879.txt,mixed,00451879.txt,0
..\..\groundtruth\00451880.txt,..\..\Submissions\mixed\00451880.txt,1512,1548,0.8703703704,mixed\00451880.txt,mixed,00451880.txt,0
..\..\groundtruth\00451881.txt,..\..\Submissions\mixed\00451881.txt,1535,1568,0.8729641694,mixed\00451881.txt,mixed,00451881.txt,0
..\..\groundtruth\00451882.txt,..\..\Submissions\mixed\00451882.txt,1516,1561,0.8773087071,mixed\00451882.txt,mixed,00451882.txt,0
..\..\groundtruth\00451883.txt,..\..\Submissions\mixed\00451883.txt,1334,1368,0.8665667166,mixed\00451883.txt,mixed,00451883.txt,0
..\..\groundtruth\00451884.txt,..\..\Submissions\mixed\00451884.txt,1482,1487,0.8495276653,mixed\00451884.txt,mixed,00451884.txt,0
..\..\groundtruth\00451885.txt,..\..\Submissions\mixed\00451885.txt,1681,1707,0.7971445568,mixed\00451885.txt,mixed,00451885.txt,0
..\..\groundtruth\00451886.txt,..\..\Submissions\mixed\00451886.txt,1500,1501,0.806,mixed\00451886.txt,mixed,00451886.txt,0
..\..\groundtruth\00451887.txt,..\..\Submissions\mixed\00451887.txt,1613,1518,0.7668939864,mixed\00451887.txt,mixed,00451887.txt,0
..\..\groundtruth\00451888.txt,..\..\Submissions\mixed\00451888.txt,1876,1933,0.7782515991,mixed\00451888.txt,mixed,00451888.txt,0
..\..\groundtruth\00451889.txt,..\..\Submissions\mixed\00451889.txt,1763,1827,0.8474191719,mixed\00451889.txt,mixed,00451889.txt,0
..\..\groundtruth\00451890.txt,..\..\Submissions\mixed\00451890.txt,2253,2332,0.792276964,mixed\00451890.txt,mixed,00451890.txt,0
..\..\groundtruth\00451891.txt,..\..\Submissions\mixed\00451891.txt,1357,1392,0.8511422255,mixed\00451891.txt,mixed,00451891.txt,0
..\..\groundtruth\00451892.txt,..\..\Submissions\mixed\00451892.txt,1526,1484,0.7653997379,mixed\00451892.txt,mixed,00451892.txt,0
..\..\groundtruth\00451893.txt,..\..\Submissions\mixed\00451893.txt,1909,1991,0.785227868,mixed\00451893.txt,mixed,00451893.txt,0
..\..\groundtruth\00451894.txt,..\..\Submissions\mixed\00451894.txt,1821,1871,0.8204283361,mixed\00451894.txt,mixed,00451894.txt,0
..\..\groundtruth\00451895.txt,..\..\Submissions\mixed\00451895.txt,1568,1602,0.7825255102,mixed\00451895.txt,mixed,00451895.txt,0
..\..\groundtruth\00451896.txt,..\..\Submissions\mixed\00451896.txt,1541,1530,0.7936404932,mixed\00451896.txt,mixed,00451896.txt,0
..\..\groundtruth\00451897.txt,..\..\Submissions\mixed\00451897.txt,1371,1374,0.8431801605,mixed\00451897.txt,mixed,00451897.txt,0
..\..\groundtruth\00451898.txt,..\..\Submissions\mixed\00451898.txt,1784,1830,0.8133408072,mixed\00451898.txt,mixed,00451898.txt,0
..\..\groundtruth\00451899.txt,..\..\Submissions\mixed\00451899.txt,1857,1828,0.8077544426,mixed\00451899.txt,mixed,00451899.txt,0
..\..\groundtruth\00451900.txt,..\..\Submissions\mixed\00451900.txt,1954,1955,0.7737973388,mixed\00451900.txt,mixed,00451900.txt,0
..\..\groundtruth\00451901.txt,..\..\Submissions\mixed\00451901.txt,1692,1834,0.7588652482,mixed\00451901.txt,mixed,00451901.txt,0
..\..\groundtruth\00451902.txt,..\..\Submissions\mixed\00451902.txt,1722,1764,0.7967479675,mixed\00451902.txt,mixed,00451902.txt,0
..\..\groundtruth\00451903.txt,..\..\Submissions\mixed\00451903.txt,1448,1424,0.8100828729,mixed\00451903.txt,mixed,00451903.txt,0
..\..\groundtruth\00451904.txt,..\..\Submissions\mixed\00451904.txt,2099,2161,0.7975226298,mixed\00451904.txt,mixed,00451904.txt,0
..\..\groundtruth\00451905.txt,..\..\Submissions\mixed\00451905.txt,1942,2032,0.8455200824,mixed\00451905.txt,mixed,00451905.txt,0
..\..\groundtruth\00451906.txt,..\..\Submissions\mixed\00451906.txt,1252,1348,0.8186900958,mixed\00451906.txt,mixed,00451906.txt,#N/A
..\..\groundtruth\00451907.txt,..\..\Submissions\mixed\00451907.txt,1949,2028,0.8594150847,mixed\00451907.txt,mixed,00451907.txt,#N/A
..\..\groundtruth\00451908.txt,..\..\Submissions\mixed\00451908.txt,1660,1701,0.834939759,mixed\00451908.txt,mixed,00451908.txt,#N/A
..\..\groundtruth\00451909.txt,..\..\Submissions\mixed\00451909.txt,1804,1775,0.7627494457,mixed\00451909.txt,mixed,00451909.txt,#N/A
..\..\groundtruth\00451910.txt,..\..\Submissions\mixed\00451910.txt,1285,1330,0.880155642,mixed\00451910.txt,mixed,00451910.txt,#N/A
..\..\groundtruth\00451911.txt,..\..\Submissions\mixed\00451911.txt,1712,1701,0.7973130841,mixed\00451911.txt,mixed,00451911.txt,#N/A
..\..\groundtruth\00451912.txt,..\..\Submissions\mixed\00451912.txt,1642,1647,0.7990255786,mixed\00451912.txt,mixed,00451912.txt,#N/A
..\..\groundtruth\00451913.txt,..\..\Submissions\mixed\00451913.txt,1988,2062,0.8113682093,mixed\00451913.txt,mixed,00451913.txt,#N/A
..\..\groundtruth\00451914.txt,..\..\Submissions\mixed\00451914.txt,1486,1544,0.8633916555,mixed\00451914.txt,mixed,00451914.txt,#N/A
..\..\groundtruth\00451915.txt,..\..\Submissions\mixed\00451915.txt,1714,1715,0.8156359393,mixed\00451915.txt,mixed,00451915.txt,#N/A
..\..\groundtruth\00451916.txt,..\..\Submissions\mixed\00451916.txt,1898,1990,0.7913593256,mixed\00451916.txt,mixed,00451916.txt,#N/A
..\..\groundtruth\00451917.txt,..\..\Submissions\mixed\00451917.txt,1905,1918,0.8031496063,mixed\00451917.txt,mixed,00451917.txt,#N/A
..\..\groundtruth\00451918.txt,..\..\Submissions\mixed\00451918.txt,1558,1517,0.7958921694,mixed\00451918.txt,mixed,00451918.txt,#N/A
..\..\groundtruth\00451919.txt,..\..\Submissions\mixed\00451919.txt,1286,1355,0.8297045101,mixed\00451919.txt,mixed,00451919.txt,#N/A
..\..\groundtruth\00451920.txt,..\..\Submissions\mixed\00451920.txt,1305,1352,0.8482758621,mixed\00451920.txt,mixed,00451920.txt,#N/A
..\..\groundtruth\00451921.txt,..\..\Submissions\mixed\00451921.txt,1911,1989,0.8330716902,mixed\00451921.txt,mixed,00451921.txt,#N/A
..\..\groundtruth\00451922.txt,..\..\Submissions\mixed\00451922.txt,703,788,0.7382645804,mixed\00451922.txt,mixed,00451922.txt,#N/A
..\..\groundtruth\00451923.txt,..\..\Submissions\mixed\00451923.txt,1003,1059,0.7966101695,mixed\00451923.txt,mixed,00451923.txt,#N/A
..\..\groundtruth\00451924.txt,..\..\Submissions\mixed\00451924.txt,550,562,0.8054545455,mixed\00451924.txt,mixed,00451924.txt,#N/A
..\..\groundtruth\00451925.txt,..\..\Submissions\mixed\00451925.txt,540,663,0.7148148148,mixed\00451925.txt,mixed,00451925.txt,#N/A
..\..\groundtruth\00451926.txt,..\..\Submissions\mixed\00451926.txt,1403,1443,0.8759800428,mixed\00451926.txt,mixed,00451926.txt,#N/A
..\..\groundtruth\00451927.txt,..\..\Submissions\mixed\00451927.txt,1435,1459,0.8703832753,mixed\00451927.txt,mixed,00451927.txt,#N/A
..\..\groundtruth\00451928.txt,..\..\Submissions\mixed\00451928.txt,1399,1440,0.8756254467,mixed\00451928.txt,mixed,00451928.txt,#N/A
..\..\groundtruth\00451929.txt,..\..\Submissions\mixed\00451929.txt,1162,1207,0.8545611015,mixed\00451929.txt,mixed,00451929.txt,#N/A
..\..\groundtruth\00451930.txt,..\..\Submissions\mixed\00451930.txt,1371,1422,0.8621444201,mixed\00451930.txt,mixed,00451930.txt,#N/A
