groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00525464.txt,..\..\Submissions\gt4hist\00525464.txt,1568,1650,0.8456632653,gt4hist\00525464.txt,gt4hist,00525464.txt,0
..\..\groundtruth\00525465.txt,..\..\Submissions\gt4hist\00525465.txt,1482,1554,0.822537112,gt4hist\00525465.txt,gt4hist,00525465.txt,0
..\..\groundtruth\00525466.txt,..\..\Submissions\gt4hist\00525466.txt,1584,1464,0.7285353535,gt4hist\00525466.txt,gt4hist,00525466.txt,0
..\..\groundtruth\00525467.txt,..\..\Submissions\gt4hist\00525467.txt,1575,1383,0.6666666667,gt4hist\00525467.txt,gt4hist,00525467.txt,0
..\..\groundtruth\00525468.txt,..\..\Submissions\gt4hist\00525468.txt,1519,1428,0.7228439763,gt4hist\00525468.txt,gt4hist,00525468.txt,0
..\..\groundtruth\00525469.txt,..\..\Submissions\gt4hist\00525469.txt,1583,1619,0.8420720152,gt4hist\00525469.txt,gt4hist,00525469.txt,0
..\..\groundtruth\00525470.txt,..\..\Submissions\gt4hist\00525470.txt,1475,1422,0.7803389831,gt4hist\00525470.txt,gt4hist,00525470.txt,0
..\..\groundtruth\00525471.txt,..\..\Submissions\gt4hist\00525471.txt,1483,1493,0.8368172623,gt4hist\00525471.txt,gt4hist,00525471.txt,0
..\..\groundtruth\00525472.txt,..\..\Submissions\gt4hist\00525472.txt,1191,1172,0.7497900924,gt4hist\00525472.txt,gt4hist,00525472.txt,0
..\..\groundtruth\00525473.txt,..\..\Submissions\gt4hist\00525473.txt,1166,1184,0.8439108062,gt4hist\00525473.txt,gt4hist,00525473.txt,0
..\..\groundtruth\00525474.txt,..\..\Submissions\gt4hist\00525474.txt,1601,1611,0.8382261087,gt4hist\00525474.txt,gt4hist,00525474.txt,0
..\..\groundtruth\00525475.txt,..\..\Submissions\gt4hist\00525475.txt,1546,1570,0.82923674,gt4hist\00525475.txt,gt4hist,00525475.txt,0
..\..\groundtruth\00525476.txt,..\..\Submissions\gt4hist\00525476.txt,1523,1569,0.8502954695,gt4hist\00525476.txt,gt4hist,00525476.txt,0
..\..\groundtruth\00525477.txt,..\..\Submissions\gt4hist\00525477.txt,1499,1547,0.8545697131,gt4hist\00525477.txt,gt4hist,00525477.txt,0
