groundTruth,result,wordsInGroundTruth,wordsInResult,wordAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046974.txt,..\..\Submissions\gt4hist\00046974.txt,160,160,0.26875,gt4hist\00046974.txt,gt4hist,00046974.txt,0
..\..\groundtruth\00046975.txt,..\..\Submissions\gt4hist\00046975.txt,142,141,0.6338028169,gt4hist\00046975.txt,gt4hist,00046975.txt,0
..\..\groundtruth\00046976.txt,..\..\Submissions\gt4hist\00046976.txt,189,186,0.7407407407,gt4hist\00046976.txt,gt4hist,00046976.txt,0
..\..\groundtruth\00046977.txt,..\..\Submissions\gt4hist\00046977.txt,182,185,0.6868131868,gt4hist\00046977.txt,gt4hist,00046977.txt,0
..\..\groundtruth\00046978.txt,..\..\Submissions\gt4hist\00046978.txt,184,181,0.6847826087,gt4hist\00046978.txt,gt4hist,00046978.txt,0
..\..\groundtruth\00046979.txt,..\..\Submissions\gt4hist\00046979.txt,177,171,0.5988700565,gt4hist\00046979.txt,gt4hist,00046979.txt,0
..\..\groundtruth\00046980.txt,..\..\Submissions\gt4hist\00046980.txt,161,159,0.2111801242,gt4hist\00046980.txt,gt4hist,00046980.txt,0
..\..\groundtruth\00046981.txt,..\..\Submissions\gt4hist\00046981.txt,147,141,0.4217687075,gt4hist\00046981.txt,gt4hist,00046981.txt,0
..\..\groundtruth\00046982.txt,..\..\Submissions\gt4hist\00046982.txt,179,176,0.6312849162,gt4hist\00046982.txt,gt4hist,00046982.txt,0
..\..\groundtruth\00046983.txt,..\..\Submissions\gt4hist\00046983.txt,188,187,0.7340425532,gt4hist\00046983.txt,gt4hist,00046983.txt,0
..\..\groundtruth\00046984.txt,..\..\Submissions\gt4hist\00046984.txt,182,179,0.6868131868,gt4hist\00046984.txt,gt4hist,00046984.txt,0
..\..\groundtruth\00046985.txt,..\..\Submissions\gt4hist\00046985.txt,154,146,0.3961038961,gt4hist\00046985.txt,gt4hist,00046985.txt,0
..\..\groundtruth\00046986.txt,..\..\Submissions\gt4hist\00046986.txt,175,162,0.2514285714,gt4hist\00046986.txt,gt4hist,00046986.txt,0
..\..\groundtruth\00046987.txt,..\..\Submissions\gt4hist\00046987.txt,163,156,0.5766871166,gt4hist\00046987.txt,gt4hist,00046987.txt,0
..\..\groundtruth\00046988.txt,..\..\Submissions\gt4hist\00046988.txt,149,145,0.6241610738,gt4hist\00046988.txt,gt4hist,00046988.txt,0
..\..\groundtruth\00046989.txt,..\..\Submissions\gt4hist\00046989.txt,147,140,0.3197278912,gt4hist\00046989.txt,gt4hist,00046989.txt,0
..\..\groundtruth\00046990.txt,..\..\Submissions\gt4hist\00046990.txt,160,153,0.625,gt4hist\00046990.txt,gt4hist,00046990.txt,0
..\..\groundtruth\00046991.txt,..\..\Submissions\gt4hist\00046991.txt,183,184,0.5573770492,gt4hist\00046991.txt,gt4hist,00046991.txt,0
..\..\groundtruth\00046992.txt,..\..\Submissions\gt4hist\00046992.txt,154,150,0.6038961039,gt4hist\00046992.txt,gt4hist,00046992.txt,0
..\..\groundtruth\00046993.txt,..\..\Submissions\gt4hist\00046993.txt,100,100,0.28,gt4hist\00046993.txt,gt4hist,00046993.txt,0
..\..\groundtruth\00046994.txt,..\..\Submissions\gt4hist\00046994.txt,166,158,0.6445783133,gt4hist\00046994.txt,gt4hist,00046994.txt,0
..\..\groundtruth\00046995.txt,..\..\Submissions\gt4hist\00046995.txt,160,163,0.5875,gt4hist\00046995.txt,gt4hist,00046995.txt,0
..\..\groundtruth\00046996.txt,..\..\Submissions\gt4hist\00046996.txt,139,144,0.4748201439,gt4hist\00046996.txt,gt4hist,00046996.txt,0
..\..\groundtruth\00046997.txt,..\..\Submissions\gt4hist\00046997.txt,156,159,0.6346153846,gt4hist\00046997.txt,gt4hist,00046997.txt,0
..\..\groundtruth\00046998.txt,..\..\Submissions\gt4hist\00046998.txt,153,156,0.568627451,gt4hist\00046998.txt,gt4hist,00046998.txt,0
..\..\groundtruth\00046999.txt,..\..\Submissions\gt4hist\00046999.txt,158,156,0.6518987342,gt4hist\00046999.txt,gt4hist,00046999.txt,0
..\..\groundtruth\00047000.txt,..\..\Submissions\gt4hist\00047000.txt,169,168,0.7396449704,gt4hist\00047000.txt,gt4hist,00047000.txt,0
..\..\groundtruth\00047001.txt,..\..\Submissions\gt4hist\00047001.txt,100,96,0.37,gt4hist\00047001.txt,gt4hist,00047001.txt,0
..\..\groundtruth\00047002.txt,..\..\Submissions\gt4hist\00047002.txt,44,44,0,gt4hist\00047002.txt,gt4hist,00047002.txt,0
..\..\groundtruth\00310010.txt,..\..\Submissions\gt4hist\00310010.txt,146,150,0.1301369863,gt4hist\00310010.txt,gt4hist,00310010.txt,0
..\..\groundtruth\00451868.txt,..\..\Submissions\gt4hist\00451868.txt,67,69,0,gt4hist\00451868.txt,gt4hist,00451868.txt,0
..\..\groundtruth\00451869.txt,..\..\Submissions\gt4hist\00451869.txt,15,13,0,gt4hist\00451869.txt,gt4hist,00451869.txt,0
..\..\groundtruth\00451870.txt,..\..\Submissions\gt4hist\00451870.txt,59,85,0,gt4hist\00451870.txt,gt4hist,00451870.txt,0
..\..\groundtruth\00451871.txt,..\..\Submissions\gt4hist\00451871.txt,252,244,0.5396825397,gt4hist\00451871.txt,gt4hist,00451871.txt,0
..\..\groundtruth\00451872.txt,..\..\Submissions\gt4hist\00451872.txt,246,235,0.6138211382,gt4hist\00451872.txt,gt4hist,00451872.txt,0
..\..\groundtruth\00451873.txt,..\..\Submissions\gt4hist\00451873.txt,232,216,0.6034482759,gt4hist\00451873.txt,gt4hist,00451873.txt,0
..\..\groundtruth\00451874.txt,..\..\Submissions\gt4hist\00451874.txt,222,217,0.6036036036,gt4hist\00451874.txt,gt4hist,00451874.txt,0
..\..\groundtruth\00451875.txt,..\..\Submissions\gt4hist\00451875.txt,61,59,0.4754098361,gt4hist\00451875.txt,gt4hist,00451875.txt,0
..\..\groundtruth\00451876.txt,..\..\Submissions\gt4hist\00451876.txt,154,152,0.6233766234,gt4hist\00451876.txt,gt4hist,00451876.txt,0
..\..\groundtruth\00451877.txt,..\..\Submissions\gt4hist\00451877.txt,271,265,0.6900369004,gt4hist\00451877.txt,gt4hist,00451877.txt,0
..\..\groundtruth\00451878.txt,..\..\Submissions\gt4hist\00451878.txt,296,283,0.7466216216,gt4hist\00451878.txt,gt4hist,00451878.txt,0
..\..\groundtruth\00451879.txt,..\..\Submissions\gt4hist\00451879.txt,271,264,0.6900369004,gt4hist\00451879.txt,gt4hist,00451879.txt,0
..\..\groundtruth\00451880.txt,..\..\Submissions\gt4hist\00451880.txt,274,272,0.7627737226,gt4hist\00451880.txt,gt4hist,00451880.txt,0
..\..\groundtruth\00451881.txt,..\..\Submissions\gt4hist\00451881.txt,279,272,0.7025089606,gt4hist\00451881.txt,gt4hist,00451881.txt,0
..\..\groundtruth\00451882.txt,..\..\Submissions\gt4hist\00451882.txt,280,272,0.7035714286,gt4hist\00451882.txt,gt4hist,00451882.txt,0
..\..\groundtruth\00451883.txt,..\..\Submissions\gt4hist\00451883.txt,252,247,0.3333333333,gt4hist\00451883.txt,gt4hist,00451883.txt,0
..\..\groundtruth\00451884.txt,..\..\Submissions\gt4hist\00451884.txt,271,250,0.6014760148,gt4hist\00451884.txt,gt4hist,00451884.txt,0
..\..\groundtruth\00451885.txt,..\..\Submissions\gt4hist\00451885.txt,346,308,0.4248554913,gt4hist\00451885.txt,gt4hist,00451885.txt,0
..\..\groundtruth\00451886.txt,..\..\Submissions\gt4hist\00451886.txt,292,270,0.5445205479,gt4hist\00451886.txt,gt4hist,00451886.txt,0
..\..\groundtruth\00451887.txt,..\..\Submissions\gt4hist\00451887.txt,309,263,0.5533980583,gt4hist\00451887.txt,gt4hist,00451887.txt,0
..\..\groundtruth\00451888.txt,..\..\Submissions\gt4hist\00451888.txt,365,329,0.2712328767,gt4hist\00451888.txt,gt4hist,00451888.txt,0
..\..\groundtruth\00451889.txt,..\..\Submissions\gt4hist\00451889.txt,335,322,0.7164179104,gt4hist\00451889.txt,gt4hist,00451889.txt,0
..\..\groundtruth\00451890.txt,..\..\Submissions\gt4hist\00451890.txt,462,411,0.158008658,gt4hist\00451890.txt,gt4hist,00451890.txt,0
..\..\groundtruth\00451891.txt,..\..\Submissions\gt4hist\00451891.txt,267,257,0.6966292135,gt4hist\00451891.txt,gt4hist,00451891.txt,0
..\..\groundtruth\00451892.txt,..\..\Submissions\gt4hist\00451892.txt,302,271,0.0298013245,gt4hist\00451892.txt,gt4hist,00451892.txt,0
..\..\groundtruth\00451893.txt,..\..\Submissions\gt4hist\00451893.txt,370,342,0.2837837838,gt4hist\00451893.txt,gt4hist,00451893.txt,0
..\..\groundtruth\00451894.txt,..\..\Submissions\gt4hist\00451894.txt,336,304,0.1458333333,gt4hist\00451894.txt,gt4hist,00451894.txt,0
..\..\groundtruth\00451895.txt,..\..\Submissions\gt4hist\00451895.txt,305,280,0.4524590164,gt4hist\00451895.txt,gt4hist,00451895.txt,0
..\..\groundtruth\00451896.txt,..\..\Submissions\gt4hist\00451896.txt,306,275,0.4934640523,gt4hist\00451896.txt,gt4hist,00451896.txt,0
..\..\groundtruth\00451897.txt,..\..\Submissions\gt4hist\00451897.txt,273,252,0.5934065934,gt4hist\00451897.txt,gt4hist,00451897.txt,0
..\..\groundtruth\00451898.txt,..\..\Submissions\gt4hist\00451898.txt,348,307,0.367816092,gt4hist\00451898.txt,gt4hist,00451898.txt,0
..\..\groundtruth\00451899.txt,..\..\Submissions\gt4hist\00451899.txt,347,304,0.2305475504,gt4hist\00451899.txt,gt4hist,00451899.txt,0
..\..\groundtruth\00451900.txt,..\..\Submissions\gt4hist\00451900.txt,347,306,0.2910662824,gt4hist\00451900.txt,gt4hist,00451900.txt,0
..\..\groundtruth\00451901.txt,..\..\Submissions\gt4hist\00451901.txt,319,304,0.2884012539,gt4hist\00451901.txt,gt4hist,00451901.txt,0
..\..\groundtruth\00451902.txt,..\..\Submissions\gt4hist\00451902.txt,336,301,0.375,gt4hist\00451902.txt,gt4hist,00451902.txt,0
..\..\groundtruth\00451903.txt,..\..\Submissions\gt4hist\00451903.txt,291,259,0.5979381443,gt4hist\00451903.txt,gt4hist,00451903.txt,0
..\..\groundtruth\00451904.txt,..\..\Submissions\gt4hist\00451904.txt,381,338,0.2677165354,gt4hist\00451904.txt,gt4hist,00451904.txt,0
..\..\groundtruth\00451905.txt,..\..\Submissions\gt4hist\00451905.txt,368,360,0.7554347826,gt4hist\00451905.txt,gt4hist,00451905.txt,0
..\..\groundtruth\00451906.txt,..\..\Submissions\gt4hist\00451906.txt,244,236,0.6803278689,gt4hist\00451906.txt,gt4hist,00451906.txt,0
..\..\groundtruth\00451907.txt,..\..\Submissions\gt4hist\00451907.txt,381,371,0.7585301837,gt4hist\00451907.txt,gt4hist,00451907.txt,0
..\..\groundtruth\00451908.txt,..\..\Submissions\gt4hist\00451908.txt,323,284,0.1238390093,gt4hist\00451908.txt,gt4hist,00451908.txt,0
..\..\groundtruth\00451909.txt,..\..\Submissions\gt4hist\00451909.txt,354,318,0.384180791,gt4hist\00451909.txt,gt4hist,00451909.txt,0
..\..\groundtruth\00451910.txt,..\..\Submissions\gt4hist\00451910.txt,240,233,0.7,gt4hist\00451910.txt,gt4hist,00451910.txt,0
..\..\groundtruth\00451911.txt,..\..\Submissions\gt4hist\00451911.txt,332,300,0.484939759,gt4hist\00451911.txt,gt4hist,00451911.txt,0
..\..\groundtruth\00451912.txt,..\..\Submissions\gt4hist\00451912.txt,327,283,0.4373088685,gt4hist\00451912.txt,gt4hist,00451912.txt,0
..\..\groundtruth\00451913.txt,..\..\Submissions\gt4hist\00451913.txt,372,322,0.2284946237,gt4hist\00451913.txt,gt4hist,00451913.txt,0
..\..\groundtruth\00451914.txt,..\..\Submissions\gt4hist\00451914.txt,271,271,0.4870848708,gt4hist\00451914.txt,gt4hist,00451914.txt,0
..\..\groundtruth\00451915.txt,..\..\Submissions\gt4hist\00451915.txt,308,278,0.4675324675,gt4hist\00451915.txt,gt4hist,00451915.txt,0
..\..\groundtruth\00451916.txt,..\..\Submissions\gt4hist\00451916.txt,343,322,0.2448979592,gt4hist\00451916.txt,gt4hist,00451916.txt,0
..\..\groundtruth\00451917.txt,..\..\Submissions\gt4hist\00451917.txt,368,322,0.3288043478,gt4hist\00451917.txt,gt4hist,00451917.txt,0
..\..\groundtruth\00451918.txt,..\..\Submissions\gt4hist\00451918.txt,309,272,0.5792880259,gt4hist\00451918.txt,gt4hist,00451918.txt,0
..\..\groundtruth\00451919.txt,..\..\Submissions\gt4hist\00451919.txt,236,226,0.6186440678,gt4hist\00451919.txt,gt4hist,00451919.txt,0
..\..\groundtruth\00451920.txt,..\..\Submissions\gt4hist\00451920.txt,242,236,0.7024793388,gt4hist\00451920.txt,gt4hist,00451920.txt,0
..\..\groundtruth\00451921.txt,..\..\Submissions\gt4hist\00451921.txt,367,362,0.727520436,gt4hist\00451921.txt,gt4hist,00451921.txt,0
..\..\groundtruth\00451922.txt,..\..\Submissions\gt4hist\00451922.txt,138,144,0.4927536232,gt4hist\00451922.txt,gt4hist,00451922.txt,0
..\..\groundtruth\00451923.txt,..\..\Submissions\gt4hist\00451923.txt,196,192,0.4081632653,gt4hist\00451923.txt,gt4hist,00451923.txt,0
..\..\groundtruth\00451924.txt,..\..\Submissions\gt4hist\00451924.txt,112,106,0.3125,gt4hist\00451924.txt,gt4hist,00451924.txt,0
..\..\groundtruth\00451925.txt,..\..\Submissions\gt4hist\00451925.txt,109,118,0.5504587156,gt4hist\00451925.txt,gt4hist,00451925.txt,0
..\..\groundtruth\00451926.txt,..\..\Submissions\gt4hist\00451926.txt,263,257,0.7300380228,gt4hist\00451926.txt,gt4hist,00451926.txt,0
..\..\groundtruth\00451927.txt,..\..\Submissions\gt4hist\00451927.txt,278,263,0.7158273381,gt4hist\00451927.txt,gt4hist,00451927.txt,0
..\..\groundtruth\00451928.txt,..\..\Submissions\gt4hist\00451928.txt,265,264,0.7547169811,gt4hist\00451928.txt,gt4hist,00451928.txt,0
..\..\groundtruth\00451929.txt,..\..\Submissions\gt4hist\00451929.txt,224,216,0.6785714286,gt4hist\00451929.txt,gt4hist,00451929.txt,0
..\..\groundtruth\00451930.txt,..\..\Submissions\gt4hist\00451930.txt,249,250,0.7389558233,gt4hist\00451930.txt,gt4hist,00451930.txt,0
..\..\groundtruth\00451931.txt,..\..\Submissions\gt4hist\00451931.txt,274,262,0.5182481752,gt4hist\00451931.txt,gt4hist,00451931.txt,0
..\..\groundtruth\00451932.txt,..\..\Submissions\gt4hist\00451932.txt,277,271,0.7906137184,gt4hist\00451932.txt,gt4hist,00451932.txt,0
..\..\groundtruth\00451933.txt,..\..\Submissions\gt4hist\00451933.txt,292,281,0.7363013699,gt4hist\00451933.txt,gt4hist,00451933.txt,0
..\..\groundtruth\00451934.txt,..\..\Submissions\gt4hist\00451934.txt,304,291,0.7302631579,gt4hist\00451934.txt,gt4hist,00451934.txt,0
..\..\groundtruth\00451935.txt,..\..\Submissions\gt4hist\00451935.txt,266,256,0.7105263158,gt4hist\00451935.txt,gt4hist,00451935.txt,0
