groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,Method and file,Method,File,Decorations
..\..\groundtruth\00046914.txt,..\..\Submissions\gt4hist\00046914.txt,0.3692307692,0.3740458015,0.6283524904,130,131,0.3730769231,0.3459459459,0.6402012497,0.6540540541,0.6994219653,0.6759776536,173,185,gt4hist\00046914.txt,gt4hist,00046914.txt,0
..\..\groundtruth\00046915.txt,..\..\Submissions\gt4hist\00046915.txt,0.4436090226,0.4558823529,0.5501858736,133,136,0.4573934837,0.408045977,0.5662070892,0.591954023,0.6094674556,0.6005830904,169,174,gt4hist\00046915.txt,gt4hist,00046915.txt,0
..\..\groundtruth\00046916.txt,..\..\Submissions\gt4hist\00046916.txt,0.4297520661,0.4390243902,0.5655737705,121,123,0.4338842975,0.3941176471,0.5853243737,0.6058823529,0.6358024691,0.6204819277,162,170,gt4hist\00046916.txt,gt4hist,00046916.txt,0
..\..\groundtruth\00046917.txt,..\..\Submissions\gt4hist\00046917.txt,0.4473684211,0.4473684211,0.5526315789,114,114,0.451754386,0.3836477987,0.5803074445,0.6163522013,0.6202531646,0.61829653,158,159,gt4hist\00046917.txt,gt4hist,00046917.txt,0
..\..\groundtruth\00046918.txt,..\..\Submissions\gt4hist\00046918.txt,0.4137931034,0.4137931034,0.5862068966,116,116,0.4181034483,0.3987730061,0.5914038578,0.6012269939,0.6282051282,0.6144200627,156,163,gt4hist\00046918.txt,gt4hist,00046918.txt,0
..\..\groundtruth\00046919.txt,..\..\Submissions\gt4hist\00046919.txt,0.4583333333,0.4715447154,0.5349794239,120,123,0.4756944444,0.380952381,0.5677512654,0.619047619,0.6081871345,0.6135693215,171,168,gt4hist\00046919.txt,gt4hist,00046919.txt,0
..\..\groundtruth\00046920.txt,..\..\Submissions\gt4hist\00046920.txt,0.3966942149,0.4251968504,0.5887096774,121,127,0.4077134986,0.3575757576,0.6163374035,0.6424242424,0.6543209877,0.6483180428,162,165,gt4hist\00046920.txt,gt4hist,00046920.txt,0
..\..\groundtruth\00046921.txt,..\..\Submissions\gt4hist\00046921.txt,0.5,0.5203252033,0.489626556,118,123,0.5272707518,0.4575163399,0.5052100711,0.5424836601,0.5253164557,0.5337620579,158,153,gt4hist\00046921.txt,gt4hist,00046921.txt,0
..\..\groundtruth\00046922.txt,..\..\Submissions\gt4hist\00046922.txt,0.4566929134,0.5,0.520754717,127,138,0.469816273,0.4525139665,0.5386959835,0.5474860335,0.5868263473,0.5664739884,167,179,gt4hist\00046922.txt,gt4hist,00046922.txt,0
..\..\groundtruth\00046923.txt,..\..\Submissions\gt4hist\00046923.txt,0.4508196721,0.4596774194,0.5447154472,122,124,0.4590163934,0.4259259259,0.5570378437,0.5740740741,0.58125,0.5776397516,160,162,gt4hist\00046923.txt,gt4hist,00046923.txt,0
..\..\groundtruth\00046924.txt,..\..\Submissions\gt4hist\00046924.txt,0.4693877551,0.4747474747,0.5279187817,98,99,0.4765306122,0.424,0.5484797862,0.576,0.5806451613,0.578313253,124,125,gt4hist\00046924.txt,gt4hist,00046924.txt,0
..\..\groundtruth\00046925.txt,..\..\Submissions\gt4hist\00046925.txt,0.462962963,0.4912280702,0.5225225225,108,114,0.4780864198,0.3949044586,0.5604348258,0.6050955414,0.5900621118,0.5974842767,161,157,gt4hist\00046925.txt,gt4hist,00046925.txt,0
..\..\groundtruth\00046926.txt,..\..\Submissions\gt4hist\00046926.txt,0.3879310345,0.3879310345,0.6120689655,116,116,0.3922413793,0.3273809524,0.6385460083,0.6726190476,0.6932515337,0.6827794562,163,168,gt4hist\00046926.txt,gt4hist,00046926.txt,0
..\..\groundtruth\00046927.txt,..\..\Submissions\gt4hist\00046927.txt,0.4609375,0.4523809524,0.5433070866,128,126,0.46484375,0.3742690058,0.5769102107,0.6257309942,0.6257309942,0.6257309942,171,171,gt4hist\00046927.txt,gt4hist,00046927.txt,0
..\..\groundtruth\00046928.txt,..\..\Submissions\gt4hist\00046928.txt,0.2948717949,0.3037974684,0.7006369427,78,79,0.3055555556,0.2666666667,0.7133592737,0.7333333333,0.7333333333,0.7333333333,105,105,gt4hist\00046928.txt,gt4hist,00046928.txt,0
..\..\groundtruth\00046929.txt,..\..\Submissions\gt4hist\00046929.txt,0.376,0.3858267717,0.619047619,125,127,0.3846,0.2921348315,0.658402012,0.7078651685,0.6961325967,0.7019498607,181,178,gt4hist\00046929.txt,gt4hist,00046929.txt,0
..\..\groundtruth\00046930.txt,..\..\Submissions\gt4hist\00046930.txt,0.3333333333,0.3333333333,0.6666666667,108,108,0.3384259259,0.2721518987,0.6931304858,0.7278481013,0.71875,0.7232704403,160,158,gt4hist\00046930.txt,gt4hist,00046930.txt,0
..\..\groundtruth\00046931.txt,..\..\Submissions\gt4hist\00046931.txt,0.4173228346,0.4032258065,0.5896414343,127,124,0.4173228346,0.3314606742,0.6226621884,0.6685393258,0.68,0.6742209632,175,178,gt4hist\00046931.txt,gt4hist,00046931.txt,0
..\..\groundtruth\00046932.txt,..\..\Submissions\gt4hist\00046932.txt,0.3684210526,0.3793103448,0.6260869565,114,116,0.3830409357,0.3311258278,0.6418685903,0.6688741722,0.6688741722,0.6688741722,151,151,gt4hist\00046932.txt,gt4hist,00046932.txt,0
..\..\groundtruth\00046933.txt,..\..\Submissions\gt4hist\00046933.txt,0.4380952381,0.4537037037,0.5539906103,105,108,0.4479365079,0.3970588235,0.5763817592,0.6029411765,0.5899280576,0.5963636364,139,136,gt4hist\00046933.txt,gt4hist,00046933.txt,0
..\..\groundtruth\00046934.txt,..\..\Submissions\gt4hist\00046934.txt,0.3941605839,0.4028776978,0.6014492754,137,139,0.3941605839,0.4083769634,0.5986468373,0.5916230366,0.6312849162,0.6108108108,179,191,gt4hist\00046934.txt,gt4hist,00046934.txt,0
..\..\groundtruth\00046935.txt,..\..\Submissions\gt4hist\00046935.txt,0.5338983051,0.5454545455,0.460251046,118,121,0.5497609735,0.4931506849,0.4768699655,0.5068493151,0.4900662252,0.4983164983,151,146,gt4hist\00046935.txt,gt4hist,00046935.txt,0
..\..\groundtruth\00046936.txt,..\..\Submissions\gt4hist\00046936.txt,0.3944954128,0.4260869565,0.5892857143,109,115,0.4174581759,0.3783783784,0.601447577,0.6216216216,0.5897435897,0.6052631579,156,148,gt4hist\00046936.txt,gt4hist,00046936.txt,0
..\..\groundtruth\00046937.txt,..\..\Submissions\gt4hist\00046937.txt,0.4545454545,0.4590163934,0.5432098765,121,122,0.4624655647,0.3710691824,0.5796520231,0.6289308176,0.6211180124,0.625,161,159,gt4hist\00046937.txt,gt4hist,00046937.txt,0
..\..\groundtruth\00046938.txt,..\..\Submissions\gt4hist\00046938.txt,0.4051724138,0.4344262295,0.5798319328,116,122,0.4200757576,0.3316062176,0.6210240503,0.6683937824,0.6649484536,0.6666666667,194,193,gt4hist\00046938.txt,gt4hist,00046938.txt,0
..\..\groundtruth\00046939.txt,..\..\Submissions\gt4hist\00046939.txt,0.4132231405,0.432,0.5772357724,121,125,0.4302957808,0.3372093023,0.6127321935,0.6627906977,0.6333333333,0.6477272727,180,172,gt4hist\00046939.txt,gt4hist,00046939.txt,0
..\..\groundtruth\00046940.txt,..\..\Submissions\gt4hist\00046940.txt,0.424,0.4330708661,0.5714285714,125,127,0.4433333333,0.3333333333,0.6067211626,0.6666666667,0.63,0.64781491,200,189,gt4hist\00046940.txt,gt4hist,00046940.txt,0
..\..\groundtruth\00046941.txt,..\..\Submissions\gt4hist\00046941.txt,0.5652173913,0.5890410959,0.4225352113,138,146,0.577294686,0.5284090909,0.4458119763,0.4715909091,0.4825581395,0.4770114943,172,176,gt4hist\00046941.txt,gt4hist,00046941.txt,0
..\..\groundtruth\00046942.txt,..\..\Submissions\gt4hist\00046942.txt,0.3414634146,0.3793103448,0.6390532544,82,87,0.3726547842,0.3,0.6616841585,0.7,0.6470588235,0.672489083,119,110,gt4hist\00046942.txt,gt4hist,00046942.txt,0
..\..\groundtruth\00046943.txt,..\..\Submissions\gt4hist\00046943.txt,0.3555555556,0.3555555556,0.6444444444,90,90,0.3638888889,0.3090909091,0.662378687,0.6909090909,0.6551724138,0.6725663717,116,110,gt4hist\00046943.txt,gt4hist,00046943.txt,0
..\..\groundtruth\00046944.txt,..\..\Submissions\gt4hist\00046944.txt,0.4583333333,0.4715447154,0.5349794239,120,123,0.4725905797,0.3926380368,0.5645690851,0.6073619632,0.5789473684,0.5928143713,171,163,gt4hist\00046944.txt,gt4hist,00046944.txt,0
..\..\groundtruth\00046945.txt,..\..\Submissions\gt4hist\00046945.txt,0.3495934959,0.3442622951,0.6530612245,123,122,0.35,0.2663043478,0.689316575,0.7336956522,0.7258064516,0.7297297297,186,184,gt4hist\00046945.txt,gt4hist,00046945.txt,0
..\..\groundtruth\00046946.txt,..\..\Submissions\gt4hist\00046946.txt,0.3451327434,0.3565217391,0.649122807,113,115,0.3553795994,0.2926829268,0.6745149445,0.7073170732,0.6946107784,0.7009063444,167,164,gt4hist\00046946.txt,gt4hist,00046946.txt,0
..\..\groundtruth\00046947.txt,..\..\Submissions\gt4hist\00046947.txt,0.4368932039,0.42,0.5714285714,103,100,0.4377758164,0.3515625,0.602261142,0.6484375,0.6287878788,0.6384615385,132,128,gt4hist\00046947.txt,gt4hist,00046947.txt,0
..\..\groundtruth\00046948.txt,..\..\Submissions\gt4hist\00046948.txt,0.3719008264,0.3821138211,0.6229508197,121,123,0.3829000751,0.3012048193,0.6554115927,0.6987951807,0.6666666667,0.6823529412,174,166,gt4hist\00046948.txt,gt4hist,00046948.txt,0
..\..\groundtruth\00046949.txt,..\..\Submissions\gt4hist\00046949.txt,0.3858267717,0.3953488372,0.609375,127,129,0.3884514436,0.3172043011,0.6452112292,0.6827956989,0.6864864865,0.6846361186,185,186,gt4hist\00046949.txt,gt4hist,00046949.txt,0
