groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,Method and file,Method,File,Decorations
..\..\groundtruth\00451944.txt,..\..\Submissions\gt4hist\00451944.txt,0.3466666667,0.3987730061,0.6261980831,150,163,0.3583838384,0.2932330827,0.6726175724,0.7067669173,0.7041198502,0.7054409006,267,266,gt4hist\00451944.txt,gt4hist,00451944.txt,0
..\..\groundtruth\00451945.txt,..\..\Submissions\gt4hist\00451945.txt,0.2642857143,0.3397435897,0.6959459459,140,156,0.2880442177,0.2432432432,0.7336729747,0.7567567568,0.734082397,0.7452471483,267,259,gt4hist\00451945.txt,gt4hist,00451945.txt,0
..\..\groundtruth\00451946.txt,..\..\Submissions\gt4hist\00451946.txt,0.3243243243,0.375,0.6493506494,148,160,0.353544616,0.2633744856,0.6886011228,0.7366255144,0.7019607843,0.718875502,255,243,gt4hist\00451946.txt,gt4hist,00451946.txt,0
..\..\groundtruth\00451947.txt,..\..\Submissions\gt4hist\00451947.txt,0.2857142857,0.3630573248,0.6734006734,140,157,0.3278911565,0.2663755459,0.7015206715,0.7336244541,0.7,0.7164179104,240,229,gt4hist\00451947.txt,gt4hist,00451947.txt,0
..\..\groundtruth\00451948.txt,..\..\Submissions\gt4hist\00451948.txt,0.3165467626,0.3448275862,0.6690140845,139,145,0.337529976,0.2585365854,0.6997444075,0.7414634146,0.7169811321,0.7290167866,212,205,gt4hist\00451948.txt,gt4hist,00451948.txt,0
..\..\groundtruth\00451949.txt,..\..\Submissions\gt4hist\00451949.txt,0.2682926829,0.2682926829,0.7317073171,164,164,0.2822735192,0.2007722008,0.7562877316,0.7992277992,0.7840909091,0.7915869981,264,259,gt4hist\00451949.txt,gt4hist,00451949.txt,0
..\..\groundtruth\00451950.txt,..\..\Submissions\gt4hist\00451950.txt,0.322147651,0.3803680982,0.6474358974,149,163,0.3447693619,0.2808988764,0.6856817272,0.7191011236,0.7111111111,0.7150837989,270,267,gt4hist\00451950.txt,gt4hist,00451950.txt,0
..\..\groundtruth\00451951.txt,..\..\Submissions\gt4hist\00451951.txt,0.3018867925,0.3392857143,0.6788990826,159,168,0.3248727164,0.2482014388,0.71140308,0.7517985612,0.7464285714,0.7491039427,280,278,gt4hist\00451951.txt,gt4hist,00451951.txt,0
..\..\groundtruth\00451952.txt,..\..\Submissions\gt4hist\00451952.txt,0.3043478261,0.355704698,0.668989547,138,149,0.3226325406,0.2342007435,0.718873975,0.7657992565,0.7601476015,0.762962963,271,269,gt4hist\00451952.txt,gt4hist,00451952.txt,0
..\..\groundtruth\00451953.txt,..\..\Submissions\gt4hist\00451953.txt,0.3090909091,0.3173652695,0.686746988,165,167,0.3237277537,0.243902439,0.7139605895,0.756097561,0.7265625,0.7410358566,256,246,gt4hist\00451953.txt,gt4hist,00451953.txt,0
..\..\groundtruth\00451954.txt,..\..\Submissions\gt4hist\00451954.txt,0.3,0.335443038,0.6818181818,150,158,0.3102222222,0.2489451477,0.7191132907,0.7510548523,0.7478991597,0.7494736842,238,237,gt4hist\00451954.txt,gt4hist,00451954.txt,0
..\..\groundtruth\00451955.txt,..\..\Submissions\gt4hist\00451955.txt,0.3292682927,0.3452380952,0.6626506024,164,168,0.3535569106,0.2751937984,0.6833855277,0.7248062016,0.7030075188,0.713740458,266,258,gt4hist\00451955.txt,gt4hist,00451955.txt,0
..\..\groundtruth\00451956.txt,..\..\Submissions\gt4hist\00451956.txt,0.3170731707,0.3707865169,0.6549707602,164,178,0.3557273519,0.2671755725,0.6857014554,0.7328244275,0.690647482,0.7111111111,278,262,gt4hist\00451956.txt,gt4hist,00451956.txt,0
..\..\groundtruth\00451957.txt,..\..\Submissions\gt4hist\00451957.txt,0.2397260274,0.2745098039,0.7424749164,146,153,0.2614155251,0.1891891892,0.7730141978,0.8108108108,0.8015267176,0.8061420345,262,259,gt4hist\00451957.txt,gt4hist,00451957.txt,0
..\..\groundtruth\00451958.txt,..\..\Submissions\gt4hist\00451958.txt,0.3071895425,0.3291139241,0.6816720257,153,158,0.3262527233,0.2570281124,0.7066683342,0.7429718876,0.7341269841,0.7385229541,252,249,gt4hist\00451958.txt,gt4hist,00451958.txt,0
..\..\groundtruth\00451959.txt,..\..\Submissions\gt4hist\00451959.txt,0.2967741935,0.3353658537,0.6833855799,155,164,0.3251152074,0.2631578947,0.7045038699,0.7368421053,0.7179487179,0.7272727273,273,266,gt4hist\00451959.txt,gt4hist,00451959.txt,0
..\..\groundtruth\00451960.txt,..\..\Submissions\gt4hist\00451960.txt,0.2684563758,0.3012820513,0.7147540984,149,156,0.2790082028,0.2322097378,0.7436554968,0.7677902622,0.7677902622,0.7677902622,267,267,gt4hist\00451960.txt,gt4hist,00451960.txt,0
..\..\groundtruth\00451961.txt,..\..\Submissions\gt4hist\00451961.txt,0.3055555556,0.3197278912,0.6872852234,144,147,0.313723545,0.2425742574,0.7200978906,0.7574257426,0.7391304348,0.7481662592,207,202,gt4hist\00451961.txt,gt4hist,00451961.txt,0
..\..\groundtruth\00451962.txt,..\..\Submissions\gt4hist\00451962.txt,0.2857142857,0.3209876543,0.6962025316,154,162,0.3133426098,0.2538461538,0.7151703444,0.7461538462,0.7028985507,0.723880597,276,260,gt4hist\00451962.txt,gt4hist,00451962.txt,0
..\..\groundtruth\00451963.txt,..\..\Submissions\gt4hist\00451963.txt,0.2797619048,0.3005780347,0.7096774194,168,173,0.3092261905,0.2182539683,0.7334497903,0.7817460317,0.7462121212,0.7635658915,264,252,gt4hist\00451963.txt,gt4hist,00451963.txt,0
..\..\groundtruth\00451964.txt,..\..\Submissions\gt4hist\00451964.txt,0.3417721519,0.3658536585,0.6459627329,158,164,0.3593306483,0.2749003984,0.6802747867,0.7250996016,0.6920152091,0.7081712062,263,251,gt4hist\00451964.txt,gt4hist,00451964.txt,0
..\..\groundtruth\00451965.txt,..\..\Submissions\gt4hist\00451965.txt,0.339869281,0.3841463415,0.6372239748,153,164,0.3737083722,0.2709923664,0.6737572882,0.7290076336,0.6895306859,0.7087198516,277,262,gt4hist\00451965.txt,gt4hist,00451965.txt,0
..\..\groundtruth\00451966.txt,..\..\Submissions\gt4hist\00451966.txt,0.2516129032,0.3053892216,0.7204968944,155,167,0.2766699251,0.1957295374,0.761655943,0.8042704626,0.7902097902,0.7971781305,286,281,gt4hist\00451966.txt,gt4hist,00451966.txt,0
..\..\groundtruth\00451967.txt,..\..\Submissions\gt4hist\00451967.txt,0.3209876543,0.375,0.650887574,162,176,0.3613340192,0.2573529412,0.6867428289,0.7426470588,0.6941580756,0.7175843694,291,272,gt4hist\00451967.txt,gt4hist,00451967.txt,0
..\..\groundtruth\00525435.txt,..\..\Submissions\gt4hist\00525435.txt,0.3899371069,0.4226190476,0.5932721713,159,168,0.4205784781,0.3421052632,0.6161696607,0.6578947368,0.641025641,0.6493506494,234,228,gt4hist\00525435.txt,gt4hist,00525435.txt,0
..\..\groundtruth\00525436.txt,..\..\Submissions\gt4hist\00525436.txt,0.2857142857,0.3717277487,0.6685236769,168,191,0.3286021353,0.2805755396,0.6945819575,0.7194244604,0.7067137809,0.7130124777,283,278,gt4hist\00525436.txt,gt4hist,00525436.txt,0
..\..\groundtruth\00525437.txt,..\..\Submissions\gt4hist\00525437.txt,0.4082840237,0.5238095238,0.5277044855,169,210,0.4816298018,0.3956834532,0.5580535969,0.6043165468,0.5694915254,0.5863874346,295,278,gt4hist\00525437.txt,gt4hist,00525437.txt,0
..\..\groundtruth\00525438.txt,..\..\Submissions\gt4hist\00525438.txt,0.4196428571,0.5,0.5371900826,112,130,0.4745287698,0.4186046512,0.5520205144,0.5813953488,0.5681818182,0.5747126437,176,172,gt4hist\00525438.txt,gt4hist,00525438.txt,0
..\..\groundtruth\00525439.txt,..\..\Submissions\gt4hist\00525439.txt,0.4705882353,0.5594405594,0.4809160305,119,143,0.524719888,0.43,0.5183484518,0.57,0.5507246377,0.5601965602,207,200,gt4hist\00525439.txt,gt4hist,00525439.txt,0
..\..\groundtruth\00525440.txt,..\..\Submissions\gt4hist\00525440.txt,0.26,0.3392857143,0.6981132075,50,56,0.2973333333,0.3538461538,0.6732263706,0.6461538462,0.6885245902,0.6666666667,61,65,gt4hist\00525440.txt,gt4hist,00525440.txt,0
..\..\groundtruth\00525441.txt,..\..\Submissions\gt4hist\00525441.txt,0.4545454545,0.5462184874,0.495412844,99,119,0.5182780183,0.4714285714,0.5040604511,0.5285714286,0.5323741007,0.5304659498,139,140,gt4hist\00525441.txt,gt4hist,00525441.txt,0
..\..\groundtruth\00525442.txt,..\..\Submissions\gt4hist\00525442.txt,0.3272727273,0.4688995215,0.5935828877,165,209,0.4027678298,0.362745098,0.6165947569,0.637254902,0.6270096463,0.6320907618,311,306,gt4hist\00525442.txt,gt4hist,00525442.txt,0
..\..\groundtruth\00525443.txt,..\..\Submissions\gt4hist\00525443.txt,0.3052631579,0.4,0.643902439,190,220,0.3646992481,0.3277027027,0.6532756434,0.6722972973,0.6461038961,0.6589403974,308,296,gt4hist\00525443.txt,gt4hist,00525443.txt,0
..\..\groundtruth\00525444.txt,..\..\Submissions\gt4hist\00525444.txt,0.2914285714,0.3541666667,0.6757493188,175,192,0.3386258503,0.25795053,0.6993930134,0.74204947,0.7142857143,0.7279029463,294,283,gt4hist\00525444.txt,gt4hist,00525444.txt,0
..\..\groundtruth\00525445.txt,..\..\Submissions\gt4hist\00525445.txt,0.3121019108,0.3571428571,0.6646153846,157,168,0.3519992923,0.281124498,0.6816006172,0.718875502,0.6911196911,0.7047244094,259,249,gt4hist\00525445.txt,gt4hist,00525445.txt,0
..\..\groundtruth\00525446.txt,..\..\Submissions\gt4hist\00525446.txt,0.2340425532,0.3684210526,0.6923076923,141,171,0.3165818028,0.2794117647,0.7015111916,0.7205882353,0.6975088968,0.7088607595,281,272,gt4hist\00525446.txt,gt4hist,00525446.txt,0
..\..\groundtruth\00525447.txt,..\..\Submissions\gt4hist\00525447.txt,0.1987951807,0.2962962963,0.7492957746,166,189,0.2533048862,0.2252559727,0.7604610188,0.7747440273,0.7467105263,0.7604690117,304,293,gt4hist\00525447.txt,gt4hist,00525447.txt,0
..\..\groundtruth\00525448.txt,..\..\Submissions\gt4hist\00525448.txt,0.4204545455,0.4925373134,0.5411140584,176,201,0.4871139277,0.3977272727,0.553996962,0.6022727273,0.5540069686,0.5771324864,287,264,gt4hist\00525448.txt,gt4hist,00525448.txt,0
..\..\groundtruth\00525449.txt,..\..\Submissions\gt4hist\00525449.txt,0.2784810127,0.3666666667,0.674556213,158,180,0.3360859956,0.2545454545,0.7023254669,0.7454545455,0.7118055556,0.7282415631,288,275,gt4hist\00525449.txt,gt4hist,00525449.txt,0
..\..\groundtruth\00525450.txt,..\..\Submissions\gt4hist\00525450.txt,0.2371794872,0.316091954,0.7212121212,156,174,0.2900997151,0.2113207547,0.747219096,0.7886792453,0.7491039427,0.7683823529,279,265,gt4hist\00525450.txt,gt4hist,00525450.txt,0
..\..\groundtruth\00525451.txt,..\..\Submissions\gt4hist\00525451.txt,0.2732919255,0.3641304348,0.6782608696,161,184,0.3191572281,0.2720588235,0.7036046783,0.7279411765,0.7333333333,0.7306273063,270,272,gt4hist\00525451.txt,gt4hist,00525451.txt,0
..\..\groundtruth\00525452.txt,..\..\Submissions\gt4hist\00525452.txt,0.3103448276,0.4011976048,0.641025641,145,167,0.3548141514,0.2431506849,0.6965709281,0.7568493151,0.7366666667,0.7466216216,300,292,gt4hist\00525452.txt,gt4hist,00525452.txt,0
..\..\groundtruth\00525453.txt,..\..\Submissions\gt4hist\00525453.txt,0.3131868132,0.3990384615,0.641025641,182,208,0.3484963622,0.282208589,0.6830430241,0.717791411,0.7112462006,0.7145038168,329,326,gt4hist\00525453.txt,gt4hist,00525453.txt,0
..\..\groundtruth\00525454.txt,..\..\Submissions\gt4hist\00525454.txt,0.2810457516,0.3854748603,0.6626506024,153,179,0.3302499788,0.2652329749,0.7007536604,0.7347670251,0.7243816254,0.7295373665,283,279,gt4hist\00525454.txt,gt4hist,00525454.txt,0
..\..\groundtruth\00525455.txt,..\..\Submissions\gt4hist\00525455.txt,0.4133333333,0.5392670157,0.5161290323,150,191,0.5077539683,0.3971119134,0.5419779427,0.6028880866,0.5641891892,0.5828970332,296,277,gt4hist\00525455.txt,gt4hist,00525455.txt,0
..\..\groundtruth\00525456.txt,..\..\Submissions\gt4hist\00525456.txt,0.3630952381,0.4568527919,0.5863013699,168,197,0.4289353999,0.3333333333,0.615173493,0.6666666667,0.6484641638,0.6574394464,293,285,gt4hist\00525456.txt,gt4hist,00525456.txt,0
..\..\groundtruth\00525457.txt,..\..\Submissions\gt4hist\00525457.txt,0.4329268293,0.5463414634,0.5040650407,164,205,0.5121020578,0.4136807818,0.5325998328,0.5863192182,0.5825242718,0.5844155844,309,307,gt4hist\00525457.txt,gt4hist,00525457.txt,0
..\..\groundtruth\00525458.txt,..\..\Submissions\gt4hist\00525458.txt,0.5868263473,0.6532663317,0.3770491803,167,199,0.6653359947,0.5487804878,0.3842985019,0.4512195122,0.3978494624,0.4228571429,279,246,gt4hist\00525458.txt,gt4hist,00525458.txt,0
..\..\groundtruth\00525459.txt,..\..\Submissions\gt4hist\00525459.txt,0.3488372093,0.4846625767,0.5753424658,129,163,0.4309821961,0.3881118881,0.5896747997,0.6118881119,0.6227758007,0.6172839506,281,286,gt4hist\00525459.txt,gt4hist,00525459.txt,0
..\..\groundtruth\00525460.txt,..\..\Submissions\gt4hist\00525460.txt,0.3333333333,0.4461538462,0.6050420168,162,195,0.3963183422,0.3321917808,0.6341278529,0.6678082192,0.637254902,0.652173913,306,292,gt4hist\00525460.txt,gt4hist,00525460.txt,0
..\..\groundtruth\00525461.txt,..\..\Submissions\gt4hist\00525461.txt,0.496969697,0.5829145729,0.456043956,165,199,0.5914574315,0.5037037037,0.4481641351,0.4962962963,0.4437086093,0.4685314685,302,270,gt4hist\00525461.txt,gt4hist,00525461.txt,0
..\..\groundtruth\00525462.txt,..\..\Submissions\gt4hist\00525462.txt,0.3372093023,0.4356435644,0.6096256684,172,202,0.3973377882,0.3465346535,0.6270364319,0.6534653465,0.6449511401,0.6491803279,307,303,gt4hist\00525462.txt,gt4hist,00525462.txt,0
..\..\groundtruth\00525463.txt,..\..\Submissions\gt4hist\00525463.txt,0.3942857143,0.5023474178,0.5463917526,175,213,0.4584069264,0.4032258065,0.5678462111,0.5967741935,0.5763239875,0.5863708399,321,310,gt4hist\00525463.txt,gt4hist,00525463.txt,0
..\..\groundtruth\00525464.txt,..\..\Submissions\gt4hist\00525464.txt,0.275862069,0.3762376238,0.670212766,174,202,0.3118995299,0.2924528302,0.6976883366,0.7075471698,0.7234726688,0.7154213037,311,318,gt4hist\00525464.txt,gt4hist,00525464.txt,0
..\..\groundtruth\00525465.txt,..\..\Submissions\gt4hist\00525465.txt,0.2911392405,0.4136125654,0.6418338109,158,191,0.3451476793,0.3149350649,0.6696180091,0.6850649351,0.7056856187,0.6952224053,299,308,gt4hist\00525465.txt,gt4hist,00525465.txt,0
..\..\groundtruth\00525466.txt,..\..\Submissions\gt4hist\00525466.txt,0.502994012,0.5743589744,0.4585635359,167,195,0.592729742,0.4519572954,0.4672845496,0.5480427046,0.4873417722,0.5159128978,316,281,gt4hist\00525466.txt,gt4hist,00525466.txt,0
..\..\groundtruth\00525467.txt,..\..\Submissions\gt4hist\00525467.txt,0.487804878,0.6018957346,0.448,164,211,0.583830871,0.5018050542,0.4535028494,0.4981949458,0.4423076923,0.4685908319,312,277,gt4hist\00525467.txt,gt4hist,00525467.txt,0
..\..\groundtruth\00525468.txt,..\..\Submissions\gt4hist\00525468.txt,0.3841463415,0.4820512821,0.5626740947,164,195,0.4710220674,0.3701067616,0.5750416981,0.6298932384,0.5636942675,0.5949579832,314,281,gt4hist\00525468.txt,gt4hist,00525468.txt,0
..\..\groundtruth\00525469.txt,..\..\Submissions\gt4hist\00525469.txt,0.3,0.4166666667,0.6363636364,180,216,0.3724338624,0.3129032258,0.6559836211,0.6870967742,0.665625,0.6761904762,320,310,gt4hist\00525469.txt,gt4hist,00525469.txt,0
..\..\groundtruth\00525470.txt,..\..\Submissions\gt4hist\00525470.txt,0.4013157895,0.5235602094,0.5306122449,152,191,0.4829472611,0.4067164179,0.5525513221,0.5932835821,0.5760869565,0.5845588235,276,268,gt4hist\00525470.txt,gt4hist,00525470.txt,0
..\..\groundtruth\00525471.txt,..\..\Submissions\gt4hist\00525471.txt,0.3495934959,0.5480225989,0.5333333333,123,177,0.4422482666,0.3771626298,0.5885004728,0.6228373702,0.602006689,0.612244898,299,289,gt4hist\00525471.txt,gt4hist,00525471.txt,0
..\..\groundtruth\00525472.txt,..\..\Submissions\gt4hist\00525472.txt,0.4661654135,0.5670731707,0.4781144781,133,164,0.5370565569,0.4444444444,0.5050388897,0.5555555556,0.5165289256,0.5353319058,242,225,gt4hist\00525472.txt,gt4hist,00525472.txt,0
..\..\groundtruth\00525473.txt,..\..\Submissions\gt4hist\00525473.txt,0.3875968992,0.4551724138,0.5766423358,129,145,0.4317060416,0.3214285714,0.6185560161,0.6785714286,0.652360515,0.6652078775,233,224,gt4hist\00525473.txt,gt4hist,00525473.txt,0
..\..\groundtruth\00525474.txt,..\..\Submissions\gt4hist\00525474.txt,0.3161290323,0.461928934,0.6022727273,155,197,0.3930593958,0.3398058252,0.6324483519,0.6601941748,0.6276923077,0.643533123,325,309,gt4hist\00525474.txt,gt4hist,00525474.txt,0
..\..\groundtruth\00525475.txt,..\..\Submissions\gt4hist\00525475.txt,0.3288590604,0.4845360825,0.583090379,149,194,0.4209164996,0.3611111111,0.6075179001,0.6388888889,0.6258503401,0.6323024055,294,288,gt4hist\00525475.txt,gt4hist,00525475.txt,0
..\..\groundtruth\00525476.txt,..\..\Submissions\gt4hist\00525476.txt,0.2452830189,0.3582887701,0.6936416185,159,187,0.2969581257,0.2657342657,0.718314653,0.7342657343,0.724137931,0.7291666667,290,286,gt4hist\00525476.txt,gt4hist,00525476.txt,0
..\..\groundtruth\00525477.txt,..\..\Submissions\gt4hist\00525477.txt,0.255033557,0.3728813559,0.6809815951,149,177,0.3132790029,0.2644927536,0.710277372,0.7355072464,0.7097902098,0.7224199288,286,276,gt4hist\00525477.txt,gt4hist,00525477.txt,0
..\..\groundtruth\00525478.txt,..\..\Submissions\gt4hist\00525478.txt,0.3609756098,0.3791469194,0.6298076923,205,211,0.3945934959,0.3180327869,0.6414103082,0.6819672131,0.6645367412,0.6731391586,313,305,gt4hist\00525478.txt,gt4hist,00525478.txt,0
..\..\groundtruth\00525479.txt,..\..\Submissions\gt4hist\00525479.txt,0.4042553191,0.4846625767,0.5526315789,141,163,0.4609929078,0.4251207729,0.5563655378,0.5748792271,0.5748792271,0.5748792271,207,207,gt4hist\00525479.txt,gt4hist,00525479.txt,0
..\..\groundtruth\00525480.txt,..\..\Submissions\gt4hist\00525480.txt,0.3582887701,0.4713656388,0.5797101449,187,227,0.4293009353,0.380952381,0.5938909552,0.619047619,0.6018518519,0.6103286385,324,315,gt4hist\00525480.txt,gt4hist,00525480.txt,0
..\..\groundtruth\00525481.txt,..\..\Submissions\gt4hist\00525481.txt,0.2611111111,0.3480392157,0.6927083333,180,204,0.3416887125,0.2633333333,0.6952883812,0.7366666667,0.6842105263,0.709470305,323,300,gt4hist\00525481.txt,gt4hist,00525481.txt,0
..\..\groundtruth\00525482.txt,..\..\Submissions\gt4hist\00525482.txt,0.1452991453,0.3421052632,0.7434944238,117,152,0.2427934838,0.2238267148,0.7665725983,0.7761732852,0.7413793103,0.758377425,290,277,gt4hist\00525482.txt,gt4hist,00525482.txt,0
..\..\groundtruth\00525483.txt,..\..\Submissions\gt4hist\00525483.txt,0.2748538012,0.3830845771,0.6666666667,171,201,0.3579795286,0.3042071197,0.6678260049,0.6957928803,0.6574923547,0.6761006289,327,309,gt4hist\00525483.txt,gt4hist,00525483.txt,0
..\..\groundtruth\00525484.txt,..\..\Submissions\gt4hist\00525484.txt,0.2651933702,0.3179487179,0.7074468085,181,195,0.3085942296,0.2376237624,0.7251586923,0.7623762376,0.7287066246,0.7451612903,317,303,gt4hist\00525484.txt,gt4hist,00525484.txt,0
..\..\groundtruth\00525485.txt,..\..\Submissions\gt4hist\00525485.txt,0.3404255319,0.3768844221,0.6408268734,188,199,0.3919443957,0.2896551724,0.6552321176,0.7103448276,0.6477987421,0.6776315789,318,290,gt4hist\00525485.txt,gt4hist,00525485.txt,0
..\..\groundtruth\00525486.txt,..\..\Submissions\gt4hist\00525486.txt,0.2958579882,0.3865979381,0.6556473829,169,194,0.355184559,0.2651006711,0.686916521,0.7348993289,0.7019230769,0.7180327869,312,298,gt4hist\00525486.txt,gt4hist,00525486.txt,0
..\..\groundtruth\00525487.txt,..\..\Submissions\gt4hist\00525487.txt,0.3066666667,0.5023923445,0.5793871866,150,209,0.4290529101,0.3843537415,0.5924547617,0.6156462585,0.5838709677,0.5993377483,310,294,gt4hist\00525487.txt,gt4hist,00525487.txt,0
..\..\groundtruth\00525488.txt,..\..\Submissions\gt4hist\00525488.txt,0.2833333333,0.3435114504,0.6852589641,120,131,0.3381349206,0.252688172,0.7019978822,0.747311828,0.7091836735,0.7277486911,196,186,gt4hist\00525488.txt,gt4hist,00525488.txt,0
..\..\groundtruth\00525489.txt,..\..\Submissions\gt4hist\00525489.txt,0.46875,0.5224719101,0.5029585799,160,178,0.5236160714,0.4663865546,0.5033772879,0.5336134454,0.492248062,0.5120967742,258,238,gt4hist\00525489.txt,gt4hist,00525489.txt,0
..\..\groundtruth\00525490.txt,..\..\Submissions\gt4hist\00525490.txt,0.49,0.5545851528,0.4755244755,200,229,0.5509531441,0.4433333333,0.4970986486,0.5566666667,0.4926253687,0.5226917058,339,300,gt4hist\00525490.txt,gt4hist,00525490.txt,0
..\..\groundtruth\00525491.txt,..\..\Submissions\gt4hist\00525491.txt,0.4300518135,0.5067264574,0.5288461538,193,223,0.4805314432,0.3777777778,0.5662214073,0.6222222222,0.5885885886,0.6049382716,333,315,gt4hist\00525491.txt,gt4hist,00525491.txt,0
..\..\groundtruth\00525492.txt,..\..\Submissions\gt4hist\00525492.txt,0.4009661836,0.4537444934,0.5714285714,207,227,0.4551184725,0.3553459119,0.5905835851,0.6446540881,0.5890804598,0.6156156156,348,318,gt4hist\00525492.txt,gt4hist,00525492.txt,0
..\..\groundtruth\00525493.txt,..\..\Submissions\gt4hist\00525493.txt,0.3604651163,0.4660194175,0.582010582,172,206,0.447106866,0.3545150502,0.5956120221,0.6454849498,0.603125,0.6235864297,320,299,gt4hist\00525493.txt,gt4hist,00525493.txt,0
..\..\groundtruth\00525494.txt,..\..\Submissions\gt4hist\00525494.txt,0.3333333333,0.4455445545,0.6054054054,168,202,0.4048166489,0.3333333333,0.6289002578,0.6666666667,0.6419753086,0.6540880503,324,312,gt4hist\00525494.txt,gt4hist,00525494.txt,0
..\..\groundtruth\00525495.txt,..\..\Submissions\gt4hist\00525495.txt,0.38,0.4811715481,0.5649202733,200,239,0.4277564103,0.4041297935,0.5838179586,0.5958702065,0.5994065282,0.5976331361,337,339,gt4hist\00525495.txt,gt4hist,00525495.txt,0
..\..\groundtruth\00525496.txt,..\..\Submissions\gt4hist\00525496.txt,0.3385416667,0.4279279279,0.61352657,192,222,0.3900739596,0.3134328358,0.645981314,0.6865671642,0.6647398844,0.6754772394,346,335,gt4hist\00525496.txt,gt4hist,00525496.txt,0
..\..\groundtruth\00525497.txt,..\..\Submissions\gt4hist\00525497.txt,0.2797619048,0.395,0.6576086957,168,200,0.3467828798,0.3111111111,0.6705789455,0.6888888889,0.6516516517,0.6697530864,333,315,gt4hist\00525497.txt,gt4hist,00525497.txt,0
..\..\groundtruth\00525498.txt,..\..\Submissions\gt4hist\00525498.txt,0.4210526316,0.5263157895,0.5210526316,171,209,0.497671367,0.4078947368,0.5435347507,0.5921052632,0.5555555556,0.5732484076,324,304,gt4hist\00525498.txt,gt4hist,00525498.txt,0
..\..\groundtruth\00525499.txt,..\..\Submissions\gt4hist\00525499.txt,0.3707865169,0.4536585366,0.5848563969,178,205,0.4105760812,0.3344051447,0.6251978632,0.6655948553,0.6388888889,0.6519685039,324,311,gt4hist\00525499.txt,gt4hist,00525499.txt,0
..\..\groundtruth\00525500.txt,..\..\Submissions\gt4hist\00525500.txt,0.3157894737,0.4650205761,0.6004618938,190,243,0.3989648801,0.3581661891,0.6207648319,0.6418338109,0.6103542234,0.625698324,367,349,gt4hist\00525500.txt,gt4hist,00525500.txt,0
..\..\groundtruth\00525501.txt,..\..\Submissions\gt4hist\00525501.txt,0.5028248588,0.6071428571,0.4389027431,177,224,0.5670609052,0.4765100671,0.47392802,0.5234899329,0.4785276074,0.5,326,298,gt4hist\00525501.txt,gt4hist,00525501.txt,0
..\..\groundtruth\00525502.txt,..\..\Submissions\gt4hist\00525502.txt,0.3694267516,0.3694267516,0.6305732484,157,157,0.3930467091,0.3137254902,0.6441812834,0.6862745098,0.6334841629,0.6588235294,221,204,gt4hist\00525502.txt,gt4hist,00525502.txt,0
..\..\groundtruth\00525503.txt,..\..\Submissions\gt4hist\00525503.txt,0.5294117647,0.5897435897,0.4383561644,102,117,0.5753267974,0.5285714286,0.4468311235,0.4714285714,0.4615384615,0.4664310954,143,140,gt4hist\00525503.txt,gt4hist,00525503.txt,0
..\..\groundtruth\00539273.txt,..\..\Submissions\gt4hist\00539273.txt,0.4505494505,0.5098039216,0.518134715,91,102,0.4608058608,0.4573643411,0.540909425,0.5426356589,0.5882352941,0.564516129,119,129,gt4hist\00539273.txt,gt4hist,00539273.txt,0
..\..\groundtruth\00539275.txt,..\..\Submissions\gt4hist\00539275.txt,0.4406779661,0.5,0.528,118,132,0.4894067797,0.4545454545,0.5274484771,0.5454545455,0.56,0.5526315789,150,154,gt4hist\00539275.txt,gt4hist,00539275.txt,0
..\..\groundtruth\00539276.txt,..\..\Submissions\gt4hist\00539276.txt,0.4520547945,0.5428571429,0.4984423676,146,175,0.4991438356,0.4420600858,0.5278592375,0.5579399142,0.5627705628,0.5603448276,231,233,gt4hist\00539276.txt,gt4hist,00539276.txt,0
..\..\groundtruth\00539277.txt,..\..\Submissions\gt4hist\00539277.txt,0.4057971014,0.4842767296,0.5521885522,138,159,0.4443639291,0.3660714286,0.5922058678,0.6339285714,0.6367713004,0.6353467562,223,224,gt4hist\00539277.txt,gt4hist,00539277.txt,0
..\..\groundtruth\00539278.txt,..\..\Submissions\gt4hist\00539278.txt,0.3410852713,0.4480519481,0.6007067138,129,154,0.3883813215,0.36492891,0.6231242939,0.63507109,0.63507109,0.63507109,211,211,gt4hist\00539278.txt,gt4hist,00539278.txt,0
..\..\groundtruth\00539279.txt,..\..\Submissions\gt4hist\00539279.txt,0.4206896552,0.5,0.5367412141,145,168,0.4555555556,0.4208144796,0.5612779095,0.5791855204,0.6009389671,0.5898617512,213,221,gt4hist\00539279.txt,gt4hist,00539279.txt,0
..\..\groundtruth\00539280.txt,..\..\Submissions\gt4hist\00539280.txt,0.4928571429,0.5798816568,0.4595469256,140,169,0.5407142857,0.5091743119,0.4745321994,0.4908256881,0.5,0.4953703704,214,218,gt4hist\00539280.txt,gt4hist,00539280.txt,0
..\..\groundtruth\00539281.txt,..\..\Submissions\gt4hist\00539281.txt,0.503649635,0.5952380952,0.4459016393,137,168,0.5686131387,0.4675324675,0.4766269658,0.5324675325,0.5256410256,0.5290322581,234,231,gt4hist\00539281.txt,gt4hist,00539281.txt,0
