groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046997.txt,..\..\Submissions\gt4hist\00046997.txt,792,860,0.8358585859,gt4hist\00046997.txt,gt4hist,00046997.txt,0
..\..\groundtruth\00046998.txt,..\..\Submissions\gt4hist\00046998.txt,827,887,0.7823458283,gt4hist\00046998.txt,gt4hist,00046998.txt,0
..\..\groundtruth\00046999.txt,..\..\Submissions\gt4hist\00046999.txt,857,931,0.8179696616,gt4hist\00046999.txt,gt4hist,00046999.txt,0
..\..\groundtruth\00047000.txt,..\..\Submissions\gt4hist\00047000.txt,880,950,0.8556818182,gt4hist\00047000.txt,gt4hist,00047000.txt,0
..\..\groundtruth\00047001.txt,..\..\Submissions\gt4hist\00047001.txt,490,534,0.393877551,gt4hist\00047001.txt,gt4hist,00047001.txt,0
..\..\groundtruth\00047002.txt,..\..\Submissions\gt4hist\00047002.txt,230,258,0.08260869565,gt4hist\00047002.txt,gt4hist,00047002.txt,0
..\..\groundtruth\00310010.txt,..\..\Submissions\gt4hist\00310010.txt,813,831,0.3382533825,gt4hist\00310010.txt,gt4hist,00310010.txt,0
..\..\groundtruth\00451868.txt,..\..\Submissions\gt4hist\00451868.txt,360,368,0.125,gt4hist\00451868.txt,gt4hist,00451868.txt,0
..\..\groundtruth\00451869.txt,..\..\Submissions\gt4hist\00451869.txt,78,70,0.07692307692,gt4hist\00451869.txt,gt4hist,00451869.txt,0
..\..\groundtruth\00451870.txt,..\..\Submissions\gt4hist\00451870.txt,305,401,0,gt4hist\00451870.txt,gt4hist,00451870.txt,0
..\..\groundtruth\00451871.txt,..\..\Submissions\gt4hist\00451871.txt,1313,1358,0.8339680122,gt4hist\00451871.txt,gt4hist,00451871.txt,0
..\..\groundtruth\00451872.txt,..\..\Submissions\gt4hist\00451872.txt,1314,1330,0.8691019787,gt4hist\00451872.txt,gt4hist,00451872.txt,0
..\..\groundtruth\00451873.txt,..\..\Submissions\gt4hist\00451873.txt,1267,1290,0.8571428571,gt4hist\00451873.txt,gt4hist,00451873.txt,0
..\..\groundtruth\00451874.txt,..\..\Submissions\gt4hist\00451874.txt,1274,1306,0.8563579278,gt4hist\00451874.txt,gt4hist,00451874.txt,0
..\..\groundtruth\00451875.txt,..\..\Submissions\gt4hist\00451875.txt,346,358,0.7456647399,gt4hist\00451875.txt,gt4hist,00451875.txt,0
..\..\groundtruth\00451876.txt,..\..\Submissions\gt4hist\00451876.txt,828,849,0.8466183575,gt4hist\00451876.txt,gt4hist,00451876.txt,0
..\..\groundtruth\00451877.txt,..\..\Submissions\gt4hist\00451877.txt,1546,1574,0.8880983182,gt4hist\00451877.txt,gt4hist,00451877.txt,0
..\..\groundtruth\00451878.txt,..\..\Submissions\gt4hist\00451878.txt,1529,1552,0.8947024199,gt4hist\00451878.txt,gt4hist,00451878.txt,0
..\..\groundtruth\00451879.txt,..\..\Submissions\gt4hist\00451879.txt,1546,1576,0.8893919793,gt4hist\00451879.txt,gt4hist,00451879.txt,0
..\..\groundtruth\00451880.txt,..\..\Submissions\gt4hist\00451880.txt,1543,1557,0.879455606,gt4hist\00451880.txt,gt4hist,00451880.txt,0
..\..\groundtruth\00451881.txt,..\..\Submissions\gt4hist\00451881.txt,1567,1572,0.8774728781,gt4hist\00451881.txt,gt4hist,00451881.txt,0
..\..\groundtruth\00451882.txt,..\..\Submissions\gt4hist\00451882.txt,1547,1558,0.8998060763,gt4hist\00451882.txt,gt4hist,00451882.txt,0
..\..\groundtruth\00451883.txt,..\..\Submissions\gt4hist\00451883.txt,1365,1398,0.452014652,gt4hist\00451883.txt,gt4hist,00451883.txt,0
..\..\groundtruth\00451884.txt,..\..\Submissions\gt4hist\00451884.txt,1523,1464,0.7734734077,gt4hist\00451884.txt,gt4hist,00451884.txt,0
..\..\groundtruth\00451885.txt,..\..\Submissions\gt4hist\00451885.txt,1733,1616,0.6197345643,gt4hist\00451885.txt,gt4hist,00451885.txt,0
..\..\groundtruth\00451886.txt,..\..\Submissions\gt4hist\00451886.txt,1537,1494,0.783344177,gt4hist\00451886.txt,gt4hist,00451886.txt,0
..\..\groundtruth\00451887.txt,..\..\Submissions\gt4hist\00451887.txt,1664,1448,0.6868990385,gt4hist\00451887.txt,gt4hist,00451887.txt,0
..\..\groundtruth\00451888.txt,..\..\Submissions\gt4hist\00451888.txt,1938,1739,0.4803921569,gt4hist\00451888.txt,gt4hist,00451888.txt,0
..\..\groundtruth\00451889.txt,..\..\Submissions\gt4hist\00451889.txt,1822,1866,0.872118551,gt4hist\00451889.txt,gt4hist,00451889.txt,0
..\..\groundtruth\00451890.txt,..\..\Submissions\gt4hist\00451890.txt,2336,2152,0.3112157534,gt4hist\00451890.txt,gt4hist,00451890.txt,0
..\..\groundtruth\00451891.txt,..\..\Submissions\gt4hist\00451891.txt,1388,1408,0.8667146974,gt4hist\00451891.txt,gt4hist,00451891.txt,0
..\..\groundtruth\00451892.txt,..\..\Submissions\gt4hist\00451892.txt,1569,1450,0.2421924793,gt4hist\00451892.txt,gt4hist,00451892.txt,0
..\..\groundtruth\00451893.txt,..\..\Submissions\gt4hist\00451893.txt,1975,1787,0.4693670886,gt4hist\00451893.txt,gt4hist,00451893.txt,0
..\..\groundtruth\00451894.txt,..\..\Submissions\gt4hist\00451894.txt,1886,1665,0.2953340403,gt4hist\00451894.txt,gt4hist,00451894.txt,0
..\..\groundtruth\00451895.txt,..\..\Submissions\gt4hist\00451895.txt,1618,1486,0.6495673671,gt4hist\00451895.txt,gt4hist,00451895.txt,0
..\..\groundtruth\00451896.txt,..\..\Submissions\gt4hist\00451896.txt,1589,1457,0.6897419761,gt4hist\00451896.txt,gt4hist,00451896.txt,0
..\..\groundtruth\00451897.txt,..\..\Submissions\gt4hist\00451897.txt,1406,1382,0.8236130868,gt4hist\00451897.txt,gt4hist,00451897.txt,0
..\..\groundtruth\00451898.txt,..\..\Submissions\gt4hist\00451898.txt,1846,1622,0.5130010834,gt4hist\00451898.txt,gt4hist,00451898.txt,0
..\..\groundtruth\00451899.txt,..\..\Submissions\gt4hist\00451899.txt,1920,1674,0.421875,gt4hist\00451899.txt,gt4hist,00451899.txt,0
..\..\groundtruth\00451900.txt,..\..\Submissions\gt4hist\00451900.txt,2022,1737,0.4821958457,gt4hist\00451900.txt,gt4hist,00451900.txt,0
..\..\groundtruth\00451901.txt,..\..\Submissions\gt4hist\00451901.txt,1753,1627,0.5128351398,gt4hist\00451901.txt,gt4hist,00451901.txt,0
..\..\groundtruth\00451902.txt,..\..\Submissions\gt4hist\00451902.txt,1783,1583,0.5692652832,gt4hist\00451902.txt,gt4hist,00451902.txt,0
..\..\groundtruth\00451903.txt,..\..\Submissions\gt4hist\00451903.txt,1490,1373,0.7590604027,gt4hist\00451903.txt,gt4hist,00451903.txt,0
..\..\groundtruth\00451904.txt,..\..\Submissions\gt4hist\00451904.txt,2174,1839,0.4314627415,gt4hist\00451904.txt,gt4hist,00451904.txt,0
..\..\groundtruth\00451905.txt,..\..\Submissions\gt4hist\00451905.txt,2012,2090,0.8792246521,gt4hist\00451905.txt,gt4hist,00451905.txt,0
..\..\groundtruth\00451906.txt,..\..\Submissions\gt4hist\00451906.txt,1283,1323,0.8690568979,gt4hist\00451906.txt,gt4hist,00451906.txt,0
..\..\groundtruth\00451907.txt,..\..\Submissions\gt4hist\00451907.txt,2017,2056,0.8760535449,gt4hist\00451907.txt,gt4hist,00451907.txt,0
..\..\groundtruth\00451908.txt,..\..\Submissions\gt4hist\00451908.txt,1712,1571,0.3446261682,gt4hist\00451908.txt,gt4hist,00451908.txt,0
..\..\groundtruth\00451909.txt,..\..\Submissions\gt4hist\00451909.txt,1864,1615,0.5075107296,gt4hist\00451909.txt,gt4hist,00451909.txt,0
..\..\groundtruth\00451910.txt,..\..\Submissions\gt4hist\00451910.txt,1316,1331,0.8852583587,gt4hist\00451910.txt,gt4hist,00451910.txt,0
..\..\groundtruth\00451911.txt,..\..\Submissions\gt4hist\00451911.txt,1768,1569,0.6216063348,gt4hist\00451911.txt,gt4hist,00451911.txt,0
..\..\groundtruth\00451912.txt,..\..\Submissions\gt4hist\00451912.txt,1696,1485,0.5866745283,gt4hist\00451912.txt,gt4hist,00451912.txt,0
..\..\groundtruth\00451913.txt,..\..\Submissions\gt4hist\00451913.txt,2061,1814,0.3968947113,gt4hist\00451913.txt,gt4hist,00451913.txt,0
..\..\groundtruth\00451914.txt,..\..\Submissions\gt4hist\00451914.txt,1530,1565,0.6,gt4hist\00451914.txt,gt4hist,00451914.txt,0
..\..\groundtruth\00451915.txt,..\..\Submissions\gt4hist\00451915.txt,1770,1571,0.5785310734,gt4hist\00451915.txt,gt4hist,00451915.txt,0
..\..\groundtruth\00451916.txt,..\..\Submissions\gt4hist\00451916.txt,1966,1753,0.4018311292,gt4hist\00451916.txt,gt4hist,00451916.txt,0
..\..\groundtruth\00451917.txt,..\..\Submissions\gt4hist\00451917.txt,1969,1711,0.5337734891,gt4hist\00451917.txt,gt4hist,00451917.txt,0
..\..\groundtruth\00451918.txt,..\..\Submissions\gt4hist\00451918.txt,1603,1484,0.7036805989,gt4hist\00451918.txt,gt4hist,00451918.txt,0
..\..\groundtruth\00451919.txt,..\..\Submissions\gt4hist\00451919.txt,1318,1343,0.8596358118,gt4hist\00451919.txt,gt4hist,00451919.txt,0
